1stFlrSF|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
334|SalePrice|1|1|39300.0|39300.0|39300.0|39300.0|39300.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|39300.0|39300.0|0.0|39300.0|39300.0|0.0|0.0|-3.0
372|SalePrice|1|1|55000.0|55000.0|55000.0|55000.0|55000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|55000.0|55000.0|0.0|55000.0|55000.0|0.0|0.0|-3.0
407|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
432|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
438|SalePrice|1|1|60000.0|60000.0|60000.0|60000.0|60000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|60000.0|60000.0|0.0|60000.0|60000.0|0.0|0.0|-3.0
442|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
448|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
453|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
480|SalePrice|1|1|35311.0|35311.0|35311.0|35311.0|35311.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|35311.0|35311.0|0.0|35311.0|35311.0|0.0|0.0|-3.0
483|SalePrice|13|7|676400.0|96628.57|95970.95|94500.0||6|46.15|153849047.62|12403.59|0|0.0|0|0.0|7|53.85|6|46.15|7|83000.0|118000.0|35000.0|87450.0|103000.0|15550.0|0.59|-0.79
492|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
494|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
495|SalePrice|1|1|198500.0|198500.0|198500.0|198500.0|198500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|198500.0|198500.0|0.0|198500.0|198500.0|0.0|0.0|-3.0
498|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
