2ndFlrSF|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
0|SalePrice|1668|829|142077063.0|171383.67|158197.97|150000.0||839|50.3|5464324824.31|73921.07|0|0.0|0|0.0|829|49.7|839|50.3|461|34900.0|611657.0|576757.0|126500.0|198900.0|72400.0|1.64|3.97
110|SalePrice|1|1|79900.0|79900.0|79900.0|79900.0|79900.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|79900.0|79900.0|0.0|79900.0|79900.0|0.0|0.0|-3.0
125|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
144|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
167|SalePrice|1|1|228950.0|228950.0|228950.0|228950.0|228950.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|228950.0|228950.0|0.0|228950.0|228950.0|0.0|0.0|-3.0
180|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
182|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
185|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
192|SalePrice|1|1|260000.0|260000.0|260000.0|260000.0|260000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|260000.0|260000.0|0.0|260000.0|260000.0|0.0|0.0|-3.0
208|SalePrice|2|1|120000.0|120000.0|120000.0|120000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|120000.0|120000.0|0.0|120000.0|120000.0|0.0|0.0|-3.0
213|SalePrice|1|1|127000.0|127000.0|127000.0|127000.0|127000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|127000.0|127000.0|0.0|127000.0|127000.0|0.0|0.0|-3.0
218|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
220|SalePrice|1|1|119000.0|119000.0|119000.0|119000.0|119000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|119000.0|119000.0|0.0|119000.0|119000.0|0.0|0.0|-3.0
224|SalePrice|1|1|110000.0|110000.0|110000.0|110000.0|110000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|110000.0|110000.0|0.0|110000.0|110000.0|0.0|0.0|-3.0
228|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
240|SalePrice|3|2|174500.0|87250.0|86988.5|87250.0||1|33.33|91125000.0|9545.94|0|0.0|0|0.0|2|66.67|1|33.33|2|80500.0|94000.0|13500.0|83875.0|90625.0|6750.0|0.0|-2.0
245|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
252|SalePrice|2|2|202900.0|101450.0|99156.44|101450.0|80000.0|1|50.0|920205000.0|30334.88|0|0.0|0|0.0|2|100.0|0|0.0|2|80000.0|122900.0|42900.0|90725.0|112175.0|21450.0|0.0|-2.0
272|SalePrice|2|1|104900.0|104900.0|104900.0|104900.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|104900.0|104900.0|0.0|104900.0|104900.0|0.0|0.0|-3.0
