3SsnPorch|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
0|SalePrice|2882|1436|259124439.0|180448.77|166219.45|162000.0||1446|50.17|6319880431.56|79497.68|0|0.0|0|0.0|1436|49.83|1446|50.17|660|34900.0|755000.0|720100.0|129500.0|213500.0|84000.0|1.9|6.61
23|SalePrice|1|1|169990.0|169990.0|169990.0|169990.0|169990.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|169990.0|169990.0|0.0|169990.0|169990.0|0.0|0.0|-3.0
86|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
96|SalePrice|1|1|179900.0|179900.0|179900.0|179900.0|179900.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|179900.0|179900.0|0.0|179900.0|179900.0|0.0|0.0|-3.0
120|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
130|SalePrice|1|1|180000.0|180000.0|180000.0|180000.0|180000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|180000.0|180000.0|0.0|180000.0|180000.0|0.0|0.0|-3.0
140|SalePrice|1|1|135000.0|135000.0|135000.0|135000.0|135000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|135000.0|135000.0|0.0|135000.0|135000.0|0.0|0.0|-3.0
144|SalePrice|2|2|423000.0|211500.0|211494.68|211500.0|213000.0|1|50.0|4500000.0|2121.32|0|0.0|0|0.0|2|100.0|0|0.0|2|210000.0|213000.0|3000.0|210750.0|212250.0|1500.0|0.0|-2.0
150|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
153|SalePrice|3|1|392500.0|392500.0|392500.0|392500.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|392500.0|392500.0|0.0|392500.0|392500.0|0.0|0.0|-3.0
162|SalePrice|1|1|149500.0|149500.0|149500.0|149500.0|149500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|149500.0|149500.0|0.0|149500.0|149500.0|0.0|0.0|-3.0
168|SalePrice|3|3|714000.0|238000.0|231000.06|214000.0|214000.0|1|33.33|5332000000.0|73020.55|0|0.0|0|0.0|3|100.0|0|0.0|3|180000.0|320000.0|140000.0|197000.0|267000.0|70000.0|0.54|-1.5
174|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
176|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
180|SalePrice|2|2|270000.0|135000.0|134164.08|135000.0|120000.0|1|50.0|450000000.0|21213.2|0|0.0|0|0.0|2|100.0|0|0.0|2|120000.0|150000.0|30000.0|127500.0|142500.0|15000.0|0.0|-2.0
182|SalePrice|1|1|222000.0|222000.0|222000.0|222000.0|222000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|222000.0|222000.0|0.0|222000.0|222000.0|0.0|0.0|-3.0
196|SalePrice|1|1|228500.0|228500.0|228500.0|228500.0|228500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|228500.0|228500.0|0.0|228500.0|228500.0|0.0|0.0|-3.0
216|SalePrice|2|2|369000.0|184500.0|180222.09|184500.0|224000.0|1|50.0|3120500000.0|55861.44|0|0.0|0|0.0|2|100.0|0|0.0|2|145000.0|224000.0|79000.0|164750.0|204250.0|39500.0|0.0|-2.0
219|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
224|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
225|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
238|SalePrice|1|1|194500.0|194500.0|194500.0|194500.0|194500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|194500.0|194500.0|0.0|194500.0|194500.0|0.0|0.0|-3.0
245|SalePrice|1|1|231500.0|231500.0|231500.0|231500.0|231500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|231500.0|231500.0|0.0|231500.0|231500.0|0.0|0.0|-3.0
255|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
290|SalePrice|1|1|262500.0|262500.0|262500.0|262500.0|262500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|262500.0|262500.0|0.0|262500.0|262500.0|0.0|0.0|-3.0
304|SalePrice|1|1|394617.0|394617.0|394617.0|394617.0|394617.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|394617.0|394617.0|0.0|394617.0|394617.0|0.0|0.0|-3.0
320|SalePrice|1|1|143000.0|143000.0|143000.0|143000.0|143000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|143000.0|143000.0|0.0|143000.0|143000.0|0.0|0.0|-3.0
323|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
360|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
407|SalePrice|1|1|180500.0|180500.0|180500.0|180500.0|180500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|180500.0|180500.0|0.0|180500.0|180500.0|0.0|0.0|-3.0
508|SalePrice|1|1|180500.0|180500.0|180500.0|180500.0|180500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|180500.0|180500.0|0.0|180500.0|180500.0|0.0|0.0|-3.0
