EnclosedPorch|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
0|SalePrice|2460|1252|233944815.0|186856.88|172697.67|170000.0||1208|49.11|6492068364.18|80573.37|0|0.0|0|0.0|1252|50.89|1208|49.11|615|35311.0|755000.0|719689.0|134900.0|221125.0|86225.0|1.88|6.55
16|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
18|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
19|SalePrice|1|1|220000.0|220000.0|220000.0|220000.0|220000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|220000.0|220000.0|0.0|220000.0|220000.0|0.0|0.0|-3.0
20|SalePrice|2|1|122000.0|122000.0|122000.0|122000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|122000.0|122000.0|0.0|122000.0|122000.0|0.0|0.0|-3.0
23|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
24|SalePrice|2|1|82000.0|82000.0|82000.0|82000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|82000.0|82000.0|0.0|82000.0|82000.0|0.0|0.0|-3.0
25|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
26|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
28|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
30|SalePrice|3|1|104000.0|104000.0|104000.0|104000.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|104000.0|104000.0|0.0|104000.0|104000.0|0.0|0.0|-3.0
32|SalePrice|4|2|212900.0|106450.0|103085.89|106450.0||2|50.0|1409805000.0|37547.37|0|0.0|0|0.0|2|50.0|2|50.0|2|79900.0|133000.0|53100.0|93175.0|119725.0|26550.0|0.0|-2.0
34|SalePrice|3|2|237350.0|118675.0|115245.17|118675.0||1|33.33|1604611250.0|40057.6|0|0.0|0|0.0|2|66.67|1|33.33|2|90350.0|147000.0|56650.0|104512.5|132837.5|28325.0|0.0|-2.0
35|SalePrice|3|0|0.0|||||3|100.0|||0|0.0|0|0.0|0|0.0|3|100.0|0|||||||0.0|0.0
