Exterior1st|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
AsbShng|SalePrice|44|20|2147711.0|107385.55|101165.64|108000.0||24|54.55|1139499986.58|33756.48|0|0.0|0|0.0|20|45.45|24|54.55|19|35311.0|165500.0|130189.0|85750.0|133500.0|47750.0|-0.38|-0.47
AsphShn|SalePrice|2|1|100000.0|100000.0|100000.0|100000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|100000.0|100000.0|0.0|100000.0|100000.0|0.0|0.0|-3.0
BrkComm|SalePrice|6|2|142000.0|71000.0|70142.71|71000.0||4|66.67|242000000.0|15556.35|0|0.0|0|0.0|2|33.33|4|66.67|2|60000.0|82000.0|22000.0|65500.0|76500.0|11000.0|0.0|-2.0
BrkFace|SalePrice|87|50|9728650.0|194573.0|177751.15|165750.0||37|42.53|6862782776.53|82841.91|0|0.0|0|0.0|50|57.47|37|42.53|48|40000.0|430000.0|390000.0|134525.0|245125.0|110600.0|0.79|0.17
CBlock|SalePrice|2|1|105000.0|105000.0|105000.0|105000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|105000.0|105000.0|0.0|105000.0|105000.0|0.0|0.0|-3.0
CemntBd|SalePrice|126|61|14133130.0|231690.66|199770.06|236500.0||65|51.59|14538480456.3|120575.62|0|0.0|0|0.0|61|48.41|65|51.59|60|75000.0|556581.0|481581.0|119500.0|303477.0|183977.0|0.57|-0.18
HdBoard|SalePrice|442|222|36203194.0|163077.45|155111.35|149900.0||220|49.77|4396447730.83|66305.71|0|0.0|0|0.0|222|50.23|220|49.77|157|83000.0|755000.0|672000.0|129625.0|179900.0|50275.0|4.96|37.28
ImStucc|SalePrice|1|1|262000.0|262000.0|262000.0|262000.0|262000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|262000.0|262000.0|0.0|262000.0|262000.0|0.0|0.0|-3.0
MetalSd|SalePrice|450|220|32872879.0|149422.18|141459.31|139000.0||230|51.11|3000454981.79|54776.41|0|0.0|0|0.0|220|48.89|230|51.11|170|62383.0|392000.0|329617.0|117750.0|164775.0|47025.0|1.84|4.26
Plywood|SalePrice|221|108|19001777.0|175942.38|169603.43|167450.0||113|51.13|2449990952.82|49497.38|0|0.0|0|0.0|108|48.87|113|51.13|93|82500.0|345000.0|262500.0|143437.5|197500.0|54062.5|0.99|1.13
Stone|SalePrice|2|2|517000.0|258500.0|256924.11|258500.0|230000.0|1|50.0|1624500000.0|40305.09|0|0.0|0|0.0|2|100.0|0|0.0|2|230000.0|287000.0|57000.0|244250.0|272750.0|28500.0|0.0|-2.0
Stucco|SalePrice|43|25|4074750.0|162990.0|146091.92|144000.0||18|41.86|6940097324.25|83307.25|0|0.0|0|0.0|25|58.14|18|41.86|23|58500.0|381000.0|322500.0|116000.0|188700.0|72700.0|1.36|1.42
VinylSd|SalePrice|1025|515|110072444.0|213732.9|199960.0|200000.0||510|49.76|6503934703.27|80646.98|0|0.0|0|0.0|515|50.24|510|49.76|369|37900.0|611657.0|573757.0|160000.0|248614.0|88614.0|1.29|2.82
Wd Sdng|SalePrice|411|206|30867379.0|149841.65|138483.44|138943.5||205|49.88|5059540654.35|71130.45|0|0.0|0|0.0|206|50.12|205|49.88|151|34900.0|745000.0|710100.0|112625.0|167250.0|54625.0|3.72|24.62
WdShing|SalePrice|56|26|3917032.0|150655.08|139321.79|128700.0||30|53.57|5257342014.15|72507.53|0|0.0|0|0.0|26|46.43|30|53.57|23|87000.0|385000.0|298000.0|109750.0|160250.0|50500.0|2.13|3.9
