GrLivArea|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
334|SalePrice|1|1|39300.0|39300.0|39300.0|39300.0|39300.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|39300.0|39300.0|0.0|39300.0|39300.0|0.0|0.0|-3.0
407|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
438|SalePrice|1|1|60000.0|60000.0|60000.0|60000.0|60000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|60000.0|60000.0|0.0|60000.0|60000.0|0.0|0.0|-3.0
480|SalePrice|1|1|35311.0|35311.0|35311.0|35311.0|35311.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|35311.0|35311.0|0.0|35311.0|35311.0|0.0|0.0|-3.0
492|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
498|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
520|SalePrice|1|1|68500.0|68500.0|68500.0|68500.0|68500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|68500.0|68500.0|0.0|68500.0|68500.0|0.0|0.0|-3.0
540|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
572|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
599|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
605|SalePrice|1|1|86000.0|86000.0|86000.0|86000.0|86000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|86000.0|86000.0|0.0|86000.0|86000.0|0.0|0.0|-3.0
612|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
616|SalePrice|1|1|89000.0|89000.0|89000.0|89000.0|89000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|89000.0|89000.0|0.0|89000.0|89000.0|0.0|0.0|-3.0
630|SalePrice|7|6|499000.0|83166.67|83006.26|82750.0|75500.0|1|14.29|32266666.67|5680.38|0|0.0|0|0.0|6|85.71|1|14.29|6|75500.0|92000.0|16500.0|80250.0|85625.0|5375.0|0.27|-0.76
640|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
641|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
660|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
666|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
670|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
672|SalePrice|5|2|221000.0|110500.0|110471.72|110500.0||3|60.0|12500000.0|3535.53|0|0.0|0|0.0|2|40.0|3|60.0|2|108000.0|113000.0|5000.0|109250.0|111750.0|2500.0|0.0|-2.0
691|SalePrice|1|1|86000.0|86000.0|86000.0|86000.0|86000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|86000.0|86000.0|0.0|86000.0|86000.0|0.0|0.0|-3.0
693|SalePrice|1|1|52500.0|52500.0|52500.0|52500.0|52500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|52500.0|52500.0|0.0|52500.0|52500.0|0.0|0.0|-3.0
694|SalePrice|1|1|90350.0|90350.0|90350.0|90350.0|90350.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|90350.0|90350.0|0.0|90350.0|90350.0|0.0|0.0|-3.0
698|SalePrice|1|1|118000.0|118000.0|118000.0|118000.0|118000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|118000.0|118000.0|0.0|118000.0|118000.0|0.0|0.0|-3.0
704|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
708|SalePrice|1|1|82500.0|82500.0|82500.0|82500.0|82500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|82500.0|82500.0|0.0|82500.0|82500.0|0.0|0.0|-3.0
713|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
715|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
720|SalePrice|4|3|213300.0|71100.0|64469.33|72500.0|72500.0|1|25.0|1261720000.0|35520.7|0|0.0|0|0.0|3|75.0|1|25.0|3|34900.0|105900.0|71000.0|53700.0|89200.0|35500.0|-0.07|-1.5
725|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
729|SalePrice|2|1|52000.0|52000.0|52000.0|52000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|52000.0|52000.0|0.0|52000.0|52000.0|0.0|0.0|-3.0
732|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
733|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
747|SalePrice|2|2|159900.0|79950.0|79949.98|79950.0|79900.0|1|50.0|5000.0|70.71|0|0.0|0|0.0|2|100.0|0|0.0|2|79900.0|80000.0|100.0|79925.0|79975.0|50.0|0.0|-2.0
752|SalePrice|1|1|125000.0|125000.0|125000.0|125000.0|125000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|125000.0|125000.0|0.0|125000.0|125000.0|0.0|0.0|-3.0
754|SalePrice|1|1|84500.0|84500.0|84500.0|84500.0|84500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|84500.0|84500.0|0.0|84500.0|84500.0|0.0|0.0|-3.0
756|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
759|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
764|SalePrice|1|1|73000.0|73000.0|73000.0|73000.0|73000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|73000.0|73000.0|0.0|73000.0|73000.0|0.0|0.0|-3.0
765|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
767|SalePrice|1|1|133000.0|133000.0|133000.0|133000.0|133000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|133000.0|133000.0|0.0|133000.0|133000.0|0.0|0.0|-3.0
768|SalePrice|5|3|396400.0|132133.33|132119.62|133000.0||2|40.0|5403333.33|2324.51|0|0.0|0|0.0|3|60.0|2|40.0|3|129500.0|133900.0|4400.0|131250.0|133450.0|2200.0|-0.59|-1.5
773|SalePrice|1|1|110000.0|110000.0|110000.0|110000.0|110000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|110000.0|110000.0|0.0|110000.0|110000.0|0.0|0.0|-3.0
774|SalePrice|1|1|79000.0|79000.0|79000.0|79000.0|79000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|79000.0|79000.0|0.0|79000.0|79000.0|0.0|0.0|-3.0
778|SalePrice|1|1|120500.0|120500.0|120500.0|120500.0|120500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|120500.0|120500.0|0.0|120500.0|120500.0|0.0|0.0|-3.0
780|SalePrice|1|1|124900.0|124900.0|124900.0|124900.0|124900.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|124900.0|124900.0|0.0|124900.0|124900.0|0.0|0.0|-3.0
784|SalePrice|3|2|185500.0|92750.0|91225.0|92750.0||1|33.33|561125000.0|23688.08|0|0.0|0|0.0|2|66.67|1|33.33|2|76000.0|109500.0|33500.0|84375.0|101125.0|16750.0|0.0|-2.0
788|SalePrice|1|1|100000.0|100000.0|100000.0|100000.0|100000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|100000.0|100000.0|0.0|100000.0|100000.0|0.0|0.0|-3.0
789|SalePrice|2|2|211500.0|105750.0|105344.67|105750.0|96500.0|1|50.0|171125000.0|13081.48|0|0.0|0|0.0|2|100.0|0|0.0|2|96500.0|115000.0|18500.0|101125.0|110375.0|9250.0|0.0|-2.0
790|SalePrice|1|1|91000.0|91000.0|91000.0|91000.0|91000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|91000.0|91000.0|0.0|91000.0|91000.0|0.0|0.0|-3.0
792|SalePrice|3|1|109500.0|109500.0|109500.0|109500.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|109500.0|109500.0|0.0|109500.0|109500.0|0.0|0.0|-3.0
793|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
796|SalePrice|4|2|140000.0|70000.0|68373.97|70000.0||2|50.0|450000000.0|21213.2|0|0.0|0|0.0|2|50.0|2|50.0|2|55000.0|85000.0|30000.0|62500.0|77500.0|15000.0|0.0|-2.0
797|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
800|SalePrice|1|1|60000.0|60000.0|60000.0|60000.0|60000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|60000.0|60000.0|0.0|60000.0|60000.0|0.0|0.0|-3.0
803|SalePrice|1|1|87000.0|87000.0|87000.0|87000.0|87000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|87000.0|87000.0|0.0|87000.0|87000.0|0.0|0.0|-3.0
804|SalePrice|1|1|119000.0|119000.0|119000.0|119000.0|119000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|119000.0|119000.0|0.0|119000.0|119000.0|0.0|0.0|-3.0
808|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
810|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
813|SalePrice|1|1|110000.0|110000.0|110000.0|110000.0|110000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|110000.0|110000.0|0.0|110000.0|110000.0|0.0|0.0|-3.0
816|SalePrice|14|8|971900.0|121487.5|120933.26|122500.0||6|42.86|148186964.29|12173.21|0|0.0|0|0.0|8|57.14|6|42.86|8|100000.0|138000.0|38000.0|116375.0|130050.0|13675.0|-0.47|-0.65
819|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
825|SalePrice|2|1|125000.0|125000.0|125000.0|125000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|125000.0|125000.0|0.0|125000.0|125000.0|0.0|0.0|-3.0
827|SalePrice|1|1|107500.0|107500.0|107500.0|107500.0|107500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|107500.0|107500.0|0.0|107500.0|107500.0|0.0|0.0|-3.0
832|SalePrice|2|1|105500.0|105500.0|105500.0|105500.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|105500.0|105500.0|0.0|105500.0|105500.0|0.0|0.0|-3.0
833|SalePrice|3|2|229000.0|114500.0|114472.7|114500.0||1|33.33|12500000.0|3535.53|0|0.0|0|0.0|2|66.67|1|33.33|2|112000.0|117000.0|5000.0|113250.0|115750.0|2500.0|0.0|-2.0
835|SalePrice|1|1|83000.0|83000.0|83000.0|83000.0|83000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|83000.0|83000.0|0.0|83000.0|83000.0|0.0|0.0|-3.0
836|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
838|SalePrice|1|1|130000.0|130000.0|130000.0|130000.0|130000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|130000.0|130000.0|0.0|130000.0|130000.0|0.0|0.0|-3.0
840|SalePrice|2|1|87000.0|87000.0|87000.0|87000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|87000.0|87000.0|0.0|87000.0|87000.0|0.0|0.0|-3.0
841|SalePrice|1|1|82000.0|82000.0|82000.0|82000.0|82000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|82000.0|82000.0|0.0|82000.0|82000.0|0.0|0.0|-3.0
844|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
845|SalePrice|4|2|213500.0|106750.0|104297.65|106750.0||2|50.0|1035125000.0|32173.36|0|0.0|0|0.0|2|50.0|2|50.0|2|84000.0|129500.0|45500.0|95375.0|118125.0|22750.0|0.0|-2.0
846|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
848|SalePrice|13|10|1434700.0|143470.0|143319.87|143500.0||3|23.08|47849000.0|6917.3|0|0.0|0|0.0|10|76.92|3|23.08|10|131500.0|155900.0|24400.0|140250.0|147875.0|7625.0|0.06|-0.36
854|SalePrice|1|1|132000.0|132000.0|132000.0|132000.0|132000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|132000.0|132000.0|0.0|132000.0|132000.0|0.0|0.0|-3.0
856|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
858|SalePrice|4|4|449400.0|112350.0|111058.88|113250.0|116500.0|1|25.0|374723333.33|19357.77|0|0.0|0|0.0|4|100.0|0|0.0|4|88000.0|134900.0|46900.0|104500.0|121100.0|16600.0|-0.15|-1.07
860|SalePrice|1|1|137000.0|137000.0|137000.0|137000.0|137000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|137000.0|137000.0|0.0|137000.0|137000.0|0.0|0.0|-3.0
861|SalePrice|2|1|82500.0|82500.0|82500.0|82500.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|82500.0|82500.0|0.0|82500.0|82500.0|0.0|0.0|-3.0
