LotArea|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
1300|SalePrice|1|1|124000.0|124000.0|124000.0|124000.0|124000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|124000.0|124000.0|0.0|124000.0|124000.0|0.0|0.0|-3.0
1470|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1476|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1477|SalePrice|2|1|80000.0|80000.0|80000.0|80000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|80000.0|80000.0|0.0|80000.0|80000.0|0.0|0.0|-3.0
1484|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1488|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1491|SalePrice|1|1|75500.0|75500.0|75500.0|75500.0|75500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|75500.0|75500.0|0.0|75500.0|75500.0|0.0|0.0|-3.0
1495|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1504|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1526|SalePrice|2|1|86000.0|86000.0|86000.0|86000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|86000.0|86000.0|0.0|86000.0|86000.0|0.0|0.0|-3.0
1533|SalePrice|4|2|189000.0|94500.0|94466.93|94500.0||2|50.0|12500000.0|3535.53|0|0.0|0|0.0|2|50.0|2|50.0|2|92000.0|97000.0|5000.0|93250.0|95750.0|2500.0|0.0|-2.0
1596|SalePrice|2|1|91000.0|91000.0|91000.0|91000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|91000.0|91000.0|0.0|91000.0|91000.0|0.0|0.0|-3.0
1612|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1680|SalePrice|18|10|1016400.0|101640.0|100808.38|97250.0||8|44.44|190584888.89|13805.25|0|0.0|0|0.0|10|55.56|8|44.44|9|85400.0|119500.0|34100.0|90000.0|116500.0|26500.0|0.25|-1.66
1700|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1733|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1782|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1869|SalePrice|1|1|106000.0|106000.0|106000.0|106000.0|106000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|106000.0|106000.0|0.0|106000.0|106000.0|0.0|0.0|-3.0
1879|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1890|SalePrice|6|2|194000.0|97000.0|95671.31|97000.0||4|66.67|512000000.0|22627.42|0|0.0|0|0.0|2|33.33|4|66.67|2|81000.0|113000.0|32000.0|89000.0|105000.0|16000.0|0.0|-2.0
1894|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1900|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1920|SalePrice|1|1|122500.0|122500.0|122500.0|122500.0|122500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|122500.0|122500.0|0.0|122500.0|122500.0|0.0|0.0|-3.0
1936|SalePrice|2|1|84500.0|84500.0|84500.0|84500.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|84500.0|84500.0|0.0|84500.0|84500.0|0.0|0.0|-3.0
1950|SalePrice|1|1|151000.0|151000.0|151000.0|151000.0|151000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|151000.0|151000.0|0.0|151000.0|151000.0|0.0|0.0|-3.0
1953|SalePrice|1|1|83000.0|83000.0|83000.0|83000.0|83000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|83000.0|83000.0|0.0|83000.0|83000.0|0.0|0.0|-3.0
1974|SalePrice|2|1|83500.0|83500.0|83500.0|83500.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|83500.0|83500.0|0.0|83500.0|83500.0|0.0|0.0|-3.0
2001|SalePrice|1|1|75000.0|75000.0|75000.0|75000.0|75000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|75000.0|75000.0|0.0|75000.0|75000.0|0.0|0.0|-3.0
2016|SalePrice|1|1|106000.0|106000.0|106000.0|106000.0|106000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|106000.0|106000.0|0.0|106000.0|106000.0|0.0|0.0|-3.0
2058|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
2104|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
2117|SalePrice|4|3|523000.0|174333.33|174283.86|177000.0|177500.0|1|25.0|25583333.33|5058.0|0|0.0|0|0.0|3|75.0|1|25.0|3|168500.0|177500.0|9000.0|172750.0|177250.0|4500.0|-0.7|-1.5
2160|SalePrice|3|1|160000.0|160000.0|160000.0|160000.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|160000.0|160000.0|0.0|160000.0|160000.0|0.0|0.0|-3.0
2179|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
