LowQualFinSF|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
0|SalePrice|2879|1434|260175994.0|181433.75|167228.33|163945.0||1445|50.19|6306694988.04|79414.7|0|0.0|0|0.0|1434|49.81|1445|50.19|656|34900.0|755000.0|720100.0|130000.0|214800.0|84800.0|1.87|6.51
53|SalePrice|1|1|169000.0|169000.0|169000.0|169000.0|169000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|169000.0|169000.0|0.0|169000.0|169000.0|0.0|0.0|-3.0
80|SalePrice|4|3|442552.0|147517.33|147490.84|147400.0|151000.0|1|25.0|11734101.33|3425.51|0|0.0|0|0.0|3|75.0|1|25.0|3|144152.0|151000.0|6848.0|145776.0|149200.0|3424.0|0.06|-1.5
108|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
114|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
120|SalePrice|1|1|124900.0|124900.0|124900.0|124900.0|124900.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|124900.0|124900.0|0.0|124900.0|124900.0|0.0|0.0|-3.0
140|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
144|SalePrice|1|1|135000.0|135000.0|135000.0|135000.0|135000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|135000.0|135000.0|0.0|135000.0|135000.0|0.0|0.0|-3.0
156|SalePrice|1|1|79500.0|79500.0|79500.0|79500.0|79500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|79500.0|79500.0|0.0|79500.0|79500.0|0.0|0.0|-3.0
205|SalePrice|2|1|122000.0|122000.0|122000.0|122000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|122000.0|122000.0|0.0|122000.0|122000.0|0.0|0.0|-3.0
