MiscVal|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
0|SalePrice|2816|1408|256206303.0|181964.7|167658.74|164000.0||1408|50.0|6409151047.39|80057.17|0|0.0|0|0.0|1408|50.0|1408|50.0|650|34900.0|755000.0|720100.0|130000.0|215000.0|85000.0|1.88|6.44
54|SalePrice|1|1|55993.0|55993.0|55993.0|55993.0|55993.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|55993.0|55993.0|0.0|55993.0|55993.0|0.0|0.0|-3.0
80|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
300|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
350|SalePrice|1|1|200000.0|200000.0|200000.0|200000.0|200000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|200000.0|200000.0|0.0|200000.0|200000.0|0.0|0.0|-3.0
400|SalePrice|18|11|1638350.0|148940.91|144342.15|140000.0||7|38.89|1433222409.09|37857.92|0|0.0|0|0.0|11|61.11|7|38.89|11|83000.0|202500.0|119500.0|128975.0|180500.0|51525.0|0.03|-0.93
420|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
450|SalePrice|9|4|465750.0|116437.5|112073.77|113750.0||5|55.56|1346932291.67|36700.58|0|0.0|0|0.0|4|44.44|5|55.56|4|76500.0|161750.0|85250.0|94125.0|136062.5|41937.5|0.2|-1.32
455|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
460|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
480|SalePrice|2|2|305000.0|152500.0|148996.64|152500.0|120000.0|1|50.0|2112500000.0|45961.94|0|0.0|0|0.0|2|100.0|0|0.0|2|120000.0|185000.0|65000.0|136250.0|168750.0|32500.0|0.0|-2.0
490|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
500|SalePrice|13|8|1354400.0|169300.0|161207.61|163950.0||5|38.46|3175462857.14|56351.25|0|0.0|0|0.0|8|61.54|5|38.46|8|90000.0|277000.0|187000.0|141125.0|195000.0|53875.0|0.56|-0.07
560|SalePrice|1|1|81000.0|81000.0|81000.0|81000.0|81000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|81000.0|81000.0|0.0|81000.0|81000.0|0.0|0.0|-3.0
