MoSold|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
1|SalePrice|122|58|10628863.0|183256.26|156889.94|151650.0||64|52.46|14733367425.04|121381.08|0|0.0|0|0.0|58|47.54|64|52.46|54|39300.0|755000.0|715700.0|118250.0|215500.0|97250.0|2.58|8.49
2|SalePrice|133|52|9249864.0|177882.0|170595.7|173250.0||81|60.9|2804853023.96|52960.86|0|0.0|0|0.0|52|39.1|81|60.9|48|93000.0|320000.0|227000.0|129175.0|211225.0|82050.0|0.73|0.14
3|SalePrice|232|106|19424916.0|183253.92|167733.86|165250.0||126|54.31|7480251222.2|86488.45|0|0.0|0|0.0|106|45.69|126|54.31|94|52500.0|611657.0|559157.0|133725.0|200593.0|66868.0|2.03|5.86
4|SalePrice|279|141|24181960.0|171503.26|158269.72|147000.0||138|49.46|5951709462.41|77147.32|0|0.0|0|0.0|141|50.54|138|49.46|114|68400.0|555000.0|486600.0|124000.0|202900.0|78900.0|1.88|4.86
5|SalePrice|394|204|35150683.0|172307.27|160306.93|154000.0||190|48.22|4707955812.72|68614.55|0|0.0|0|0.0|204|51.78|190|48.22|161|37900.0|430000.0|392100.0|127750.0|204812.5|77062.5|1.18|1.45
6|SalePrice|503|253|44881121.0|177395.74|166032.31|163000.0||250|49.7|4823731138.46|69453.09|0|0.0|0|0.0|253|50.3|250|49.7|196|55993.0|538000.0|482007.0|136000.0|204000.0|68000.0|1.71|4.8
7|SalePrice|446|234|43601499.0|186331.19|169870.39|165195.0||212|47.53|8422122999.47|91772.13|0|0.0|0|0.0|234|52.47|212|47.53|187|40000.0|745000.0|705000.0|132625.0|212975.0|80350.0|2.41|8.77
8|SalePrice|233|122|22527523.0|184651.83|170943.49|174450.0||111|47.64|5360580700.67|73215.99|0|0.0|0|0.0|122|52.36|111|47.64|108|64500.0|426000.0|361500.0|126250.0|237639.5|111389.5|0.73|0.02
9|SalePrice|158|63|12328042.0|195683.21|179613.2|185900.0||95|60.13|6913759093.1|83149.02|0|0.0|0|0.0|63|39.87|95|60.13|61|67000.0|465000.0|398000.0|135000.0|231585.0|96585.0|0.94|0.71
10|SalePrice|173|89|15981194.0|179563.98|166065.04|159000.0||84|48.55|5735942953.68|75736.01|0|0.0|0|0.0|89|51.45|84|48.55|80|35311.0|438780.0|403469.0|135500.0|202500.0|67000.0|1.42|2.0
11|SalePrice|142|79|15184662.0|192210.91|175403.87|173000.0||63|44.37|6975208084.36|83517.71|0|0.0|0|0.0|79|55.63|63|44.37|71|34900.0|446261.0|411361.0|130000.0|238500.0|108500.0|0.94|0.47
12|SalePrice|104|59|11004619.0|186518.97|173210.01|178000.0||45|43.27|4829576576.07|69495.16|0|0.0|0|0.0|59|56.73|45|43.27|57|62383.0|340000.0|277617.0|135480.0|239500.0|104020.0|0.28|-0.83
