MSSubClass|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
20|SalePrice|1079|536|99280499.0|185224.81|171577.06|159250.0||543|50.32|6206633455.97|78782.19|0|0.0|0|0.0|536|49.68|543|50.32|349|35311.0|611657.0|576346.0|132500.0|220000.0|87500.0|1.61|3.44
30|SalePrice|139|69|6612251.0|95829.72|92393.23|99900.0||70|50.36|617875921.7|24857.11|0|0.0|0|0.0|69|49.64|70|50.36|57|34900.0|163500.0|128600.0|81000.0|110500.0|29500.0|0.09|0.12
40|SalePrice|6|4|624500.0|156125.0|142974.61|142500.0||2|33.33|5737729166.67|75747.8|0|0.0|0|0.0|4|66.67|2|33.33|4|79500.0|260000.0|180500.0|119625.0|179000.0|59375.0|0.58|-0.96
45|SalePrice|18|12|1303100.0|108591.67|106834.16|107500.0||6|33.33|409322651.52|20231.72|0|0.0|0|0.0|12|66.67|6|33.33|11|76000.0|139400.0|63400.0|94125.0|122250.0|28125.0|0.06|-1.06
50|SalePrice|287|144|20635628.0|143302.97|135203.53|132000.0||143|49.83|3008740116.64|54851.98|0|0.0|0|0.0|144|50.17|143|49.83|110|37900.0|410000.0|372100.0|114125.0|159000.0|44875.0|2.11|6.13
60|SalePrice|575|299|71744602.0|239948.5|228656.16|215200.0||276|48.0|7496080809.67|86579.91|0|0.0|0|0.0|299|52.0|276|48.0|214|129000.0|755000.0|626000.0|185000.0|268750.0|83750.0|2.55|9.6
70|SalePrice|128|60|10006345.0|166772.42|157006.86|156000.0||68|53.12|3388001969.5|58206.55|0|0.0|0|0.0|60|46.88|68|53.12|54|40000.0|359100.0|319100.0|128000.0|189500.0|61500.0|0.89|1.15
75|SalePrice|23|16|3079000.0|192437.5|173647.02|163500.0||7|30.43|10111662500.0|100556.76|0|0.0|0|0.0|16|69.57|7|30.43|16|101000.0|475000.0|374000.0|125625.0|219625.0|94000.0|1.55|1.91
80|SalePrice|118|58|9844720.0|169736.55|166345.91|166500.0||60|50.85|1459072594.92|38197.81|0|0.0|0|0.0|58|49.15|60|50.85|49|107000.0|345000.0|238000.0|147250.0|179425.0|32175.0|2.33|7.51
85|SalePrice|48|20|2956200.0|147810.0|146659.15|140750.0||28|58.33|385334631.58|19629.94|0|0.0|0|0.0|20|41.67|28|58.33|18|123000.0|198500.0|75500.0|134350.0|158375.0|24025.0|1.04|0.32
90|SalePrice|109|52|6944136.0|133541.08|130734.01|135980.0||57|52.29|774689760.86|27833.25|0|0.0|0|0.0|52|47.71|57|52.29|46|82000.0|206300.0|124300.0|118375.0|145000.0|26625.0|0.49|0.37
120|SalePrice|182|87|17467780.0|200779.08|193214.14|192000.0||95|52.2|3389742003.66|58221.49|0|0.0|0|0.0|87|47.8|95|52.2|81|99500.0|392500.0|293000.0|158050.0|232000.0|73950.0|0.99|0.83
150|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
160|SalePrice|128|63|8734785.0|138647.38|134213.96|146000.0||65|50.78|1196298080.01|34587.54|0|0.0|0|0.0|63|49.22|65|50.78|52|75000.0|239000.0|164000.0|114000.0|164850.0|50850.0|0.12|-0.26
180|SalePrice|17|10|1023000.0|102300.0|98888.64|88500.0||7|41.18|868733333.33|29474.28|0|0.0|0|0.0|10|58.82|7|41.18|10|75500.0|148000.0|72500.0|81875.0|128000.0|46125.0|0.8|-1.22
190|SalePrice|61|30|3888400.0|129613.33|124848.11|128250.0||31|50.82|1255929643.68|35439.1|0|0.0|0|0.0|30|49.18|31|50.82|28|55000.0|228950.0|173950.0|108875.0|143750.0|34875.0|0.55|0.96
