OverallQual|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
1|SalePrice|4|2|100300.0|50150.0|48962.23|50150.0||2|50.0|235445000.0|15344.22|0|0.0|0|0.0|2|50.0|2|50.0|2|39300.0|61000.0|21700.0|44725.0|55575.0|10850.0|0.0|-2.0
2|SalePrice|13|3|155311.0|51770.33|50281.03|60000.0||10|76.92|203182240.33|14254.2|0|0.0|0|0.0|3|23.08|10|76.92|2|35311.0|60000.0|24689.0|47655.5|60000.0|12344.5|-0.71|-1.5
3|SalePrice|40|20|1749475.0|87473.75|83907.85|86250.0||20|50.0|609525360.2|24688.57|0|0.0|0|0.0|20|50.0|20|50.0|20|37900.0|139600.0|101700.0|75500.0|97500.0|22000.0|0.15|-0.08
4|SalePrice|226|116|12576796.0|108420.66|104521.53|108000.0||110|48.67|842276709.53|29022.0|0|0.0|0|0.0|116|51.33|110|48.67|85|34900.0|256000.0|221100.0|88000.0|125500.0|37500.0|0.96|4.84
5|SalePrice|825|397|53008769.0|133523.35|130699.65|133000.0||428|51.88|734807390.01|27107.33|0|0.0|0|0.0|397|48.12|428|51.88|210|55993.0|228950.0|172957.0|118000.0|147000.0|29000.0|0.33|1.11
6|SalePrice|731|374|60439535.0|161603.03|157520.09|160000.0||357|48.84|1302501304.11|36090.18|0|0.0|0|0.0|374|51.16|357|48.84|225|76000.0|277000.0|201000.0|139125.0|181000.0|41875.0|0.36|0.41
7|SalePrice|600|319|66261539.0|207716.42|203164.78|200141.0||281|46.83|1977248226.29|44466.26|0|0.0|0|0.0|319|53.17|281|46.83|221|82500.0|383970.0|301470.0|179470.0|230750.0|51280.0|0.78|1.28
8|SalePrice|342|168|46155570.0|274735.54|267584.66|269750.0||174|50.88|4083069709.14|63898.9|0|0.0|0|0.0|168|49.12|174|50.88|141|122000.0|538000.0|416000.0|234557.5|306250.0|71692.5|0.74|1.32
9|SalePrice|107|43|15803060.0|367513.02|359787.11|345000.0||64|59.81|6606141706.83|81278.17|0|0.0|0|0.0|43|40.19|64|59.81|40|239000.0|611657.0|372657.0|318980.5|389716.0|70735.5|1.31|1.61
10|SalePrice|31|18|7894591.0|438588.39|408932.48|432390.0||13|41.94|25531403152.6|159785.49|0|0.0|0|0.0|18|58.06|13|41.94|18|160000.0|755000.0|595000.0|349375.0|472875.0|123500.0|0.38|-0.04
