PoolArea|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
0|SalePrice|2906|1453|262127976.0|180404.66|166394.27|162900.0||1453|50.0|6110372630.88|78168.87|0|0.0|0|0.0|1453|50.0|1453|50.0|661|34900.0|755000.0|720100.0|129900.0|213500.0|83600.0|1.74|5.37
144|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
228|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
368|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
444|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
480|SalePrice|1|1|160000.0|160000.0|160000.0|160000.0|160000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|160000.0|160000.0|0.0|160000.0|160000.0|0.0|0.0|-3.0
512|SalePrice|1|1|235000.0|235000.0|235000.0|235000.0|235000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|235000.0|235000.0|0.0|235000.0|235000.0|0.0|0.0|-3.0
519|SalePrice|1|1|250000.0|250000.0|250000.0|250000.0|250000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|250000.0|250000.0|0.0|250000.0|250000.0|0.0|0.0|-3.0
555|SalePrice|1|1|745000.0|745000.0|745000.0|745000.0|745000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|745000.0|745000.0|0.0|745000.0|745000.0|0.0|0.0|-3.0
561|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
576|SalePrice|1|1|171000.0|171000.0|171000.0|171000.0|171000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|171000.0|171000.0|0.0|171000.0|171000.0|0.0|0.0|-3.0
648|SalePrice|1|1|181000.0|181000.0|181000.0|181000.0|181000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|181000.0|181000.0|0.0|181000.0|181000.0|0.0|0.0|-3.0
738|SalePrice|1|1|274970.0|274970.0|274970.0|274970.0|274970.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|274970.0|274970.0|0.0|274970.0|274970.0|0.0|0.0|-3.0
800|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
