ScreenPorch|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
0|SalePrice|2663|1344|240425555.0|178888.06|164783.18|160000.0||1319|49.53|6136049216.0|78332.94|0|0.0|0|0.0|1344|50.47|1319|49.53|635|34900.0|755000.0|720100.0|128500.0|213062.5|84562.5|1.84|6.57
40|SalePrice|1|1|121000.0|121000.0|121000.0|121000.0|121000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|121000.0|121000.0|0.0|121000.0|121000.0|0.0|0.0|-3.0
53|SalePrice|1|1|165000.0|165000.0|165000.0|165000.0|165000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|165000.0|165000.0|0.0|165000.0|165000.0|0.0|0.0|-3.0
60|SalePrice|1|1|143000.0|143000.0|143000.0|143000.0|143000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|143000.0|143000.0|0.0|143000.0|143000.0|0.0|0.0|-3.0
63|SalePrice|1|1|121600.0|121600.0|121600.0|121600.0|121600.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|121600.0|121600.0|0.0|121600.0|121600.0|0.0|0.0|-3.0
64|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
80|SalePrice|1|1|151000.0|151000.0|151000.0|151000.0|151000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|151000.0|151000.0|0.0|151000.0|151000.0|0.0|0.0|-3.0
84|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
88|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
90|SalePrice|3|3|540000.0|180000.0|174214.16|180000.0|180000.0|1|33.33|3025000000.0|55000.0|0|0.0|0|0.0|3|100.0|0|0.0|3|125000.0|235000.0|110000.0|152500.0|207500.0|55000.0|0.0|-1.5
92|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
94|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
95|SalePrice|2|1|121500.0|121500.0|121500.0|121500.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|121500.0|121500.0|0.0|121500.0|121500.0|0.0|0.0|-3.0
99|SalePrice|1|1|133900.0|133900.0|133900.0|133900.0|133900.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|133900.0|133900.0|0.0|133900.0|133900.0|0.0|0.0|-3.0
100|SalePrice|5|2|324900.0|162450.0|161964.5|162450.0||3|60.0|315005000.0|17748.38|0|0.0|0|0.0|2|40.0|3|60.0|2|149900.0|175000.0|25100.0|156175.0|168725.0|12550.0|0.0|-2.0
104|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
108|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
109|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
110|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
111|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
112|SalePrice|3|0|0.0|||||3|100.0|||0|0.0|0|0.0|0|0.0|3|100.0|0|||||||0.0|0.0
113|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
115|SalePrice|3|0|0.0|||||3|100.0|||0|0.0|0|0.0|0|0.0|3|100.0|0|||||||0.0|0.0
