WoodDeckSF|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
0|SalePrice|1523|761|120440194.0|158265.7|147480.66|144152.0||762|50.03|4110266129.44|64111.36|0|0.0|0|0.0|761|49.97|762|50.03|403|34900.0|611657.0|576757.0|119000.0|180000.0|61000.0|1.95|7.51
4|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
12|SalePrice|2|2|260000.0|130000.0|129614.81|130000.0|120000.0|1|50.0|200000000.0|14142.14|0|0.0|0|0.0|2|100.0|0|0.0|2|120000.0|140000.0|20000.0|125000.0|135000.0|10000.0|0.0|-2.0
14|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
16|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
20|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
22|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
23|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
24|SalePrice|5|2|381500.0|190750.0|183166.59|190750.0||3|60.0|5671125000.0|75306.87|0|0.0|0|0.0|2|40.0|3|60.0|2|137500.0|244000.0|106500.0|164125.0|217375.0|53250.0|0.0|-2.0
25|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
26|SalePrice|2|2|212500.0|106250.0|98534.26|106250.0|146000.0|1|50.0|3160125000.0|56214.99|0|0.0|0|0.0|2|100.0|0|0.0|2|66500.0|146000.0|79500.0|86375.0|126125.0|39750.0|0.0|-2.0
27|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
28|SalePrice|3|2|248000.0|124000.0|121555.54|124000.0||1|33.33|1200500000.0|34648.23|0|0.0|0|0.0|2|66.67|1|33.33|2|99500.0|148500.0|49000.0|111750.0|136250.0|24500.0|0.0|-2.0
30|SalePrice|2|1|68400.0|68400.0|68400.0|68400.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|68400.0|68400.0|0.0|68400.0|68400.0|0.0|0.0|-3.0
32|SalePrice|4|1|136000.0|136000.0|136000.0|136000.0||3|75.0|||0|0.0|0|0.0|1|25.0|3|75.0|1|136000.0|136000.0|0.0|136000.0|136000.0|0.0|0.0|-3.0
33|SalePrice|1|1|130000.0|130000.0|130000.0|130000.0|130000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|130000.0|130000.0|0.0|130000.0|130000.0|0.0|0.0|-3.0
35|SalePrice|1|1|139000.0|139000.0|139000.0|139000.0|139000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|139000.0|139000.0|0.0|139000.0|139000.0|0.0|0.0|-3.0
36|SalePrice|8|4|604500.0|151125.0|144524.63|165500.0||4|50.0|2143729166.67|46300.42|0|0.0|0|0.0|4|50.0|4|50.0|4|84500.0|189000.0|104500.0|138875.0|177750.0|38875.0|-0.89|-0.87
38|SalePrice|3|2|416000.0|208000.0|205523.72|208000.0||1|33.33|2048000000.0|45254.83|0|0.0|0|0.0|2|66.67|1|33.33|2|176000.0|240000.0|64000.0|192000.0|224000.0|32000.0|0.0|-2.0
40|SalePrice|6|3|399900.0|133300.0|131758.02|143000.0||3|50.0|574570000.0|23970.19|0|0.0|0|0.0|3|50.0|3|50.0|3|106000.0|150900.0|44900.0|124500.0|146950.0|22450.0|-0.62|-1.5
42|SalePrice|4|1|135960.0|135960.0|135960.0|135960.0||3|75.0|||0|0.0|0|0.0|1|25.0|3|75.0|1|135960.0|135960.0|0.0|135960.0|135960.0|0.0|0.0|-3.0
44|SalePrice|1|1|129000.0|129000.0|129000.0|129000.0|129000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|129000.0|129000.0|0.0|129000.0|129000.0|0.0|0.0|-3.0
45|SalePrice|1|1|132500.0|132500.0|132500.0|132500.0|132500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|132500.0|132500.0|0.0|132500.0|132500.0|0.0|0.0|-3.0
48|SalePrice|9|5|611900.0|122380.0|120580.25|124900.0||4|44.44|553672000.0|23530.24|0|0.0|0|0.0|5|55.56|4|44.44|5|95000.0|155000.0|60000.0|105000.0|132000.0|27000.0|0.21|-1.17
49|SalePrice|3|2|208500.0|104250.0|97928.55|104250.0||1|33.33|2556125000.0|50558.13|0|0.0|0|0.0|2|66.67|1|33.33|2|68500.0|140000.0|71500.0|86375.0|122125.0|35750.0|0.0|-2.0
50|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
51|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
52|SalePrice|3|1|582933.0|582933.0|582933.0|582933.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|582933.0|582933.0|0.0|582933.0|582933.0|0.0|0.0|-3.0
53|SalePrice|1|1|84500.0|84500.0|84500.0|84500.0|84500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|84500.0|84500.0|0.0|84500.0|84500.0|0.0|0.0|-3.0
54|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
55|SalePrice|2|2|249900.0|124950.0|123330.86|124950.0|104900.0|1|50.0|804005000.0|28354.98|0|0.0|0|0.0|2|100.0|0|0.0|2|104900.0|145000.0|40100.0|114925.0|134975.0|20050.0|0.0|-2.0
56|SalePrice|2|1|244400.0|244400.0|244400.0|244400.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|244400.0|244400.0|0.0|244400.0|244400.0|0.0|0.0|-3.0
57|SalePrice|1|1|135000.0|135000.0|135000.0|135000.0|135000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|135000.0|135000.0|0.0|135000.0|135000.0|0.0|0.0|-3.0
58|SalePrice|3|2|243500.0|121750.0|121229.12|121750.0||1|33.33|253125000.0|15909.9|0|0.0|0|0.0|2|66.67|1|33.33|2|110500.0|133000.0|22500.0|116125.0|127375.0|11250.0|0.0|-2.0
60|SalePrice|4|2|478800.0|239400.0|236428.85|239400.0||2|50.0|2827520000.0|53174.43|0|0.0|0|0.0|2|50.0|2|50.0|2|201800.0|277000.0|75200.0|220600.0|258200.0|37600.0|0.0|-2.0
63|SalePrice|3|1|187500.0|187500.0|187500.0|187500.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|187500.0|187500.0|0.0|187500.0|187500.0|0.0|0.0|-3.0
64|SalePrice|8|4|525500.0|131375.0|129894.55|124250.0||4|50.0|557895833.33|23619.82|0|0.0|0|0.0|4|50.0|4|50.0|4|112000.0|165000.0|53000.0|116875.0|138750.0|21875.0|0.84|-0.93
66|SalePrice|3|1|123000.0|123000.0|123000.0|123000.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|123000.0|123000.0|0.0|123000.0|123000.0|0.0|0.0|-3.0
68|SalePrice|3|2|238276.0|119138.0|118009.1|119138.0|135500.0|1|33.33|535430088.0|23139.36|0|0.0|0|0.0|2|66.67|1|33.33|2|102776.0|135500.0|32724.0|110957.0|127319.0|16362.0|0.0|-2.0
70|SalePrice|2|1|157500.0|157500.0|157500.0|157500.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|157500.0|157500.0|0.0|157500.0|157500.0|0.0|0.0|-3.0
71|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
72|SalePrice|4|3|506000.0|168666.67|154031.28|185000.0||1|25.0|6206333333.33|78780.29|0|0.0|0|0.0|3|75.0|1|25.0|3|83000.0|238000.0|155000.0|134000.0|211500.0|77500.0|-0.36|-1.5
73|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
74|SalePrice|4|4|654500.0|163625.0|157001.63|165750.0|213000.0|1|25.0|2801229166.67|52926.64|0|0.0|0|0.0|4|100.0|0|0.0|4|110000.0|213000.0|103000.0|122375.0|207000.0|84625.0|-0.04|-1.92
75|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
76|SalePrice|3|0|0.0|||||3|100.0|||0|0.0|0|0.0|0|0.0|3|100.0|0|||||||0.0|0.0
77|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
78|SalePrice|1|1|213250.0|213250.0|213250.0|213250.0|213250.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|213250.0|213250.0|0.0|213250.0|213250.0|0.0|0.0|-3.0
80|SalePrice|8|3|573000.0|191000.0|182669.82|155000.0||5|62.5|5328000000.0|72993.15|0|0.0|0|0.0|3|37.5|5|62.5|3|143000.0|275000.0|132000.0|149000.0|215000.0|66000.0|0.69|-1.5
81|SalePrice|5|2|509500.0|254750.0|254405.19|254750.0||3|60.0|351125000.0|18738.33|0|0.0|0|0.0|2|40.0|3|60.0|2|241500.0|268000.0|26500.0|248125.0|261375.0|13250.0|0.0|-2.0
84|SalePrice|5|1|271900.0|271900.0|271900.0|271900.0||4|80.0|||0|0.0|0|0.0|1|20.0|4|80.0|1|271900.0|271900.0|0.0|271900.0|271900.0|0.0|0.0|-3.0
85|SalePrice|3|1|107500.0|107500.0|107500.0|107500.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|107500.0|107500.0|0.0|107500.0|107500.0|0.0|0.0|-3.0
