YearRemodAdd|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
1950|SalePrice|361|178|20908424.0|117463.06|110904.56|115000.0||183|50.69|1544972888.27|39306.14|0|0.0|0|0.0|178|49.31|183|50.69|133|34900.0|256000.0|221100.0|91850.0|136875.0|45025.0|0.84|1.7
1951|SalePrice|14|4|519900.0|129975.0|128854.5|138450.0||10|71.43|349469166.67|18694.09|0|0.0|0|0.0|4|28.57|10|71.43|4|102000.0|141000.0|39000.0|128925.0|139500.0|10575.0|-1.14|-0.68
1952|SalePrice|15|5|551993.0|110398.6|103223.46|123500.0||10|66.67|1807115409.8|42510.18|0|0.0|0|0.0|5|33.33|10|66.67|5|55993.0|166000.0|110007.0|82000.0|124500.0|42500.0|-0.03|-1.18
1953|SalePrice|20|10|1476400.0|147640.0|140428.7|152250.0||10|50.0|2323729333.33|48205.08|0|0.0|0|0.0|10|50.0|10|50.0|10|79900.0|225000.0|145100.0|113250.0|164500.0|51250.0|0.27|-0.91
1954|SalePrice|28|14|1696000.0|121142.86|119722.95|118500.0||14|50.0|379939560.44|19492.04|0|0.0|0|0.0|14|50.0|14|50.0|13|93000.0|165000.0|72000.0|110250.0|131875.0|21625.0|0.5|0.02
1955|SalePrice|25|9|1120600.0|124511.11|123022.17|130000.0||16|64.0|358063611.11|18922.57|0|0.0|0|0.0|9|36.0|16|64.0|9|82000.0|145000.0|63000.0|118000.0|135500.0|17500.0|-1.24|0.87
1956|SalePrice|30|10|1242350.0|124235.0|123379.91|128950.0||20|66.67|219045583.33|14800.19|0|0.0|0|0.0|10|33.33|20|66.67|9|97000.0|139000.0|42000.0|115875.0|135000.0|19125.0|-0.86|-0.78
1957|SalePrice|20|9|1193908.0|132656.44|130076.85|141000.0||11|55.0|692957973.78|26324.09|0|0.0|0|0.0|9|45.0|11|55.0|9|84000.0|166000.0|82000.0|112500.0|150000.0|37500.0|-0.57|-0.73
1958|SalePrice|34|15|1925800.0|128386.67|124411.87|136000.0||19|55.88|904884095.24|30081.29|0|0.0|0|0.0|15|44.12|19|55.88|15|60000.0|172500.0|112500.0|112250.0|144500.0|32250.0|-0.72|0.01
1959|SalePrice|30|18|2448982.0|136054.56|134289.8|137716.0||12|40.0|446947502.97|21141.13|0|0.0|0|0.0|18|60.0|12|40.0|17|80000.0|170000.0|90000.0|127862.5|146750.0|18887.5|-0.81|1.11
1960|SalePrice|29|12|1742550.0|145212.5|141636.81|149775.0||17|58.62|1059000965.91|32542.3|0|0.0|0|0.0|12|41.38|17|58.62|12|79500.0|215000.0|135500.0|126875.0|157125.0|30250.0|0.1|0.85
