|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
Id|2919|2919|4261740.0|1460.0|1075.65|1460.0|2047.0|1|0.03|710290.0|842.79|0|0.0|0|0.0|2919|100.0|0|0.0|2919|1.0|2919.0|2918.0|730.5|2189.5|1459.0|0.0|-1.2
MSSubClass|2919|2919|166785.0|57.14|44.38|50.0|20.0|1079|36.96|1807.75|42.52|0|0.0|0|0.0|2919|100.0|0|0.0|16|20.0|190.0|170.0|20.0|70.0|50.0|1.38|1.45
LotFrontage|2919|2433|168621.0|69.31|65.36|68.0||486|16.65|544.98|23.34|0|0.0|0|0.0|2433|83.35|486|16.65|128|21.0|313.0|292.0|59.0|80.0|21.0|1.5|11.27
LotArea|2919|2919|29680725.0|10168.11|8908.71|9453.0|9600.0|44|1.51|62204711.57|7887.0|0|0.0|0|0.0|2919|100.0|0|0.0|1951|1300.0|215245.0|213945.0|7478.0|11570.0|4092.0|12.82|264.5
OverallQual|2919|2919|17774.0|6.09|5.92|6.0|5.0|825|28.26|1.99|1.41|0|0.0|0|0.0|2919|100.0|0|0.0|10|1.0|10.0|9.0|5.0|7.0|2.0|0.2|0.07
OverallCond|2919|2919|16243.0|5.56|5.45|5.0|5.0|1645|56.35|1.24|1.11|0|0.0|0|0.0|2919|100.0|0|0.0|9|1.0|9.0|8.0|5.0|6.0|1.0|0.57|1.47
YearBuilt|2919|2919|5754262.0|1971.31|1971.08|1973.0|2005.0|142|4.86|917.57|30.29|0|0.0|0|0.0|2919|100.0|0|0.0|118|1872.0|2010.0|138.0|1953.5|2001.0|47.5|-0.6|-0.51
YearRemodAdd|2919|2919|5792068.0|1984.26|1984.15|1993.0|1950.0|361|12.37|436.57|20.89|0|0.0|0|0.0|2919|100.0|0|0.0|61|1950.0|2010.0|60.0|1965.0|2004.0|39.0|-0.45|-1.35
MasVnrArea|2919|2896|295975.0|102.2|0.0|0.0|0.0|1738|59.54|32160.77|179.33|0|0.0|1738|59.54|1158|39.67|23|0.79|444|0.0|1600.0|1600.0|0.0|164.0|164.0|2.6|9.24
BsmtFinSF1|2919|2918|1288073.0|441.42|0.0|368.5|0.0|929|31.83|207581.22|455.61|0|0.0|929|31.83|1989|68.14|1|0.03|991|0.0|5644.0|5644.0|0.0|733.0|733.0|1.42|6.89
BsmtFinSF2|2919|2918|144681.0|49.58|0.0|0.0|0.0|2571|88.08|28630.54|169.21|0|0.0|2571|88.08|347|11.89|1|0.03|272|0.0|1526.0|1526.0|0.0|0.0|0.0|4.15|18.8
BsmtUnfSF|2919|2918|1636333.0|560.77|0.0|467.0|0.0|241|8.26|193198.63|439.54|0|0.0|241|8.26|2677|91.71|1|0.03|1135|0.0|2336.0|2336.0|220.0|805.5|585.5|0.92|0.4
TotalBsmtSF|2919|2918|3069087.0|1051.78|0.0|989.5|0.0|78|2.67|194274.89|440.77|0|0.0|78|2.67|2840|97.29|1|0.03|1058|0.0|6110.0|6110.0|793.0|1302.0|509.0|1.16|9.13
1stFlrSF|2919|2919|3384819.0|1159.58|1100.18|1082.0|864.0|46|1.58|153948.0|392.36|0|0.0|0|0.0|2919|100.0|0|0.0|1083|334.0|5095.0|4761.0|876.0|1387.5|511.5|1.47|6.94
2ndFlrSF|2919|2919|982196.0|336.48|0.0|0.0|0.0|1668|57.14|183784.94|428.7|0|0.0|1668|57.14|1251|42.86|0|0.0|635|0.0|2065.0|2065.0|0.0|704.0|704.0|0.86|-0.42
