1stFlrSF|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
334|logSalePrice|1|1|10.58|10.58|10.58|10.58|10.58|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|10.58|10.58|0.0|10.58|10.58|0.0|0.0|-3.0
372|logSalePrice|1|1|10.92|10.92|10.92|10.92|10.92|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|10.92|10.92|0.0|10.92|10.92|0.0|0.0|-3.0
407|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
432|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
438|logSalePrice|1|1|11.0|11.0|11.0|11.0|11.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.0|11.0|0.0|11.0|11.0|0.0|0.0|-3.0
442|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
448|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
453|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
480|logSalePrice|1|1|10.47|10.47|10.47|10.47|10.47|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|10.47|10.47|0.0|10.47|10.47|0.0|0.0|-3.0
483|logSalePrice|13|7|80.3|11.47|11.47|11.46||6|46.15|0.02|0.13|0|0.0|0|0.0|7|53.85|6|46.15|7|11.33|11.68|0.35|11.38|11.54|0.16|0.45|-0.96
492|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
494|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
495|logSalePrice|1|1|12.2|12.2|12.2|12.2|12.2|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.2|12.2|0.0|12.2|12.2|0.0|0.0|-3.0
498|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
502|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
516|logSalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
520|logSalePrice|6|5|58.18|11.64|11.63|11.88|11.9|1|16.67|0.14|0.37|0|0.0|0|0.0|5|83.33|1|16.67|5|11.13|11.93|0.79|11.34|11.9|0.56|-0.52|-1.57
525|logSalePrice|5|1|11.39|11.39|11.39|11.39||4|80.0|||0|0.0|0|0.0|1|20.0|4|80.0|1|11.39|11.39|0.0|11.39|11.39|0.0|0.0|-3.0
526|logSalePrice|3|1|11.42|11.42|11.42|11.42||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|11.42|11.42|0.0|11.42|11.42|0.0|0.0|-3.0
529|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
