2ndFlrSF|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
0|logSalePrice|1610|771|9185.36|11.91|11.91|11.9||839|52.11|0.11|0.33|0|0.0|0|0.0|771|47.89|839|52.11|407|10.47|12.6|2.13|11.73|12.13|0.4|-0.38|0.66
110|logSalePrice|1|1|11.29|11.29|11.29|11.29|11.29|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.29|11.29|0.0|11.29|11.29|0.0|0.0|-3.0
125|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
144|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
167|logSalePrice|1|1|12.34|12.34|12.34|12.34|12.34|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.34|12.34|0.0|12.34|12.34|0.0|0.0|-3.0
180|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
182|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
185|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
192|logSalePrice|1|1|12.47|12.47|12.47|12.47|12.47|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.47|12.47|0.0|12.47|12.47|0.0|0.0|-3.0
208|logSalePrice|2|1|11.7|11.7|11.7|11.7|11.7|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.7|11.7|0.0|11.7|11.7|0.0|0.0|-3.0
213|logSalePrice|1|1|11.75|11.75|11.75|11.75|11.75|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.75|11.75|0.0|11.75|11.75|0.0|0.0|-3.0
218|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
220|logSalePrice|1|1|11.69|11.69|11.69|11.69|11.69|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.69|11.69|0.0|11.69|11.69|0.0|0.0|-3.0
224|logSalePrice|1|1|11.61|11.61|11.61|11.61|11.61|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.61|11.61|0.0|11.61|11.61|0.0|0.0|-3.0
228|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
240|logSalePrice|3|2|22.75|11.37|11.37|11.37|11.3|1|33.33|0.01|0.11|0|0.0|0|0.0|2|66.67|1|33.33|2|11.3|11.45|0.16|11.33|11.41|0.08|0.0|-2.0
245|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
252|logSalePrice|2|2|23.01|11.5|11.5|11.5|11.72|1|50.0|0.09|0.3|0|0.0|0|0.0|2|100.0|0|0.0|2|11.29|11.72|0.43|11.4|11.61|0.21|-0.0|-2.0
272|logSalePrice|2|1|11.56|11.56|11.56|11.56|11.56|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.56|11.56|0.0|11.56|11.56|0.0|0.0|-3.0
297|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
299|logSalePrice|1|1|11.6|11.6|11.6|11.6|11.6|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.6|11.6|0.0|11.6|11.6|0.0|0.0|-3.0
304|logSalePrice|1|1|11.82|11.82|11.82|11.82|11.82|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.82|11.82|0.0|11.82|11.82|0.0|0.0|-3.0
308|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
312|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
316|logSalePrice|1|1|11.75|11.75|11.75|11.75|11.75|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.75|11.75|0.0|11.75|11.75|0.0|0.0|-3.0
319|logSalePrice|2|1|11.54|11.54|11.54|11.54|11.54|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.54|11.54|0.0|11.54|11.54|0.0|0.0|-3.0
320|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
322|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
325|logSalePrice|1|1|11.69|11.69|11.69|11.69|11.69|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.69|11.69|0.0|11.69|11.69|0.0|0.0|-3.0
328|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
330|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
332|logSalePrice|1|1|11.98|11.98|11.98|11.98|11.98|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.98|11.98|0.0|11.98|11.98|0.0|0.0|-3.0
336|logSalePrice|2|1|11.37|11.37|11.37|11.37||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.37|11.37|0.0|11.37|11.37|0.0|0.0|-3.0
341|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
343|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
348|logSalePrice|2|1|11.48|11.48|11.48|11.48|11.48|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.48|11.48|0.0|11.48|11.48|0.0|0.0|-3.0
349|logSalePrice|1|1|11.78|11.78|11.78|11.78|11.78|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.78|11.78|0.0|11.78|11.78|0.0|0.0|-3.0
351|logSalePrice|2|1|11.51|11.51|11.51|11.51|11.51|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.51|11.51|0.0|11.51|11.51|0.0|0.0|-3.0
356|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
358|logSalePrice|1|1|11.74|11.74|11.74|11.74|11.74|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.74|11.74|0.0|11.74|11.74|0.0|0.0|-3.0
360|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
363|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
368|logSalePrice|3|1|10.54|10.54|10.54|10.54||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|10.54|10.54|0.0|10.54|10.54|0.0|0.0|-3.0
370|logSalePrice|1|1|12.04|12.04|12.04|12.04|12.04|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.04|12.04|0.0|12.04|12.04|0.0|0.0|-3.0
371|logSalePrice|1|1|11.4|11.4|11.4|11.4|11.4|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.4|11.4|0.0|11.4|11.4|0.0|0.0|-3.0
375|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
376|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
378|logSalePrice|4|1|11.74|11.74|11.74|11.74||3|75.0|||0|0.0|0|0.0|1|25.0|3|75.0|1|11.74|11.74|0.0|11.74|11.74|0.0|0.0|-3.0
380|logSalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
384|logSalePrice|2|2|23.34|11.67|11.67|11.67|11.66|1|50.0|0.0|0.02|0|0.0|0|0.0|2|100.0|0|0.0|2|11.66|11.68|0.02|11.67|11.68|0.01|0.0|-2.0
390|logSalePrice|1|1|11.81|11.81|11.81|11.81|11.81|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.81|11.81|0.0|11.81|11.81|0.0|0.0|-3.0
396|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
400|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
403|logSalePrice|1|1|11.85|11.85|11.85|11.85|11.85|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.85|11.85|0.0|11.85|11.85|0.0|0.0|-3.0
406|logSalePrice|2|2|23.34|11.67|11.67|11.67|11.65|1|50.0|0.0|0.02|0|0.0|0|0.0|2|100.0|0|0.0|2|11.65|11.69|0.03|11.66|11.68|0.02|0.0|-2.0
408|logSalePrice|3|2|23.32|11.66|11.66|11.66|11.56|1|33.33|0.02|0.14|0|0.0|0|0.0|2|66.67|1|33.33|2|11.56|11.76|0.19|11.61|11.71|0.1|-0.0|-2.0
412|logSalePrice|3|0|0.0|||||3|100.0|||0|0.0|0|0.0|0|0.0|3|100.0|0|||||||0.0|0.0
420|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
423|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
424|logSalePrice|3|0|0.0|||||3|100.0|||0|0.0|0|0.0|0|0.0|3|100.0|0|||||||0.0|0.0
425|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
428|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
430|logSalePrice|2|1|11.13|11.13|11.13|11.13||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.13|11.13|0.0|11.13|11.13|0.0|0.0|-3.0
432|logSalePrice|3|2|23.52|11.76|11.76|11.76|11.78|1|33.33|0.0|0.02|0|0.0|0|0.0|2|66.67|1|33.33|2|11.74|11.78|0.04|11.75|11.77|0.02|-0.0|-2.0
434|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
436|logSalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
438|logSalePrice|1|1|12.39|12.39|12.39|12.39|12.39|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.39|12.39|0.0|12.39|12.39|0.0|0.0|-3.0
439|logSalePrice|1|1|11.59|11.59|11.59|11.59|11.59|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.59|11.59|0.0|11.59|11.59|0.0|0.0|-3.0
441|logSalePrice|1|1|11.49|11.49|11.49|11.49|11.49|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.49|11.49|0.0|11.49|11.49|0.0|0.0|-3.0
442|logSalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
444|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
445|logSalePrice|2|2|23.63|11.81|11.81|11.81|12.0|1|50.0|0.07|0.26|0|0.0|0|0.0|2|100.0|0|0.0|2|11.63|12.0|0.37|11.72|11.91|0.19|0.0|-2.0
448|logSalePrice|3|2|23.48|11.74|11.74|11.74|11.65|1|33.33|0.02|0.13|0|0.0|0|0.0|2|66.67|1|33.33|2|11.65|11.83|0.18|11.7|11.79|0.09|0.0|-2.0
450|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
453|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
454|logSalePrice|1|1|11.42|11.42|11.42|11.42|11.42|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.42|11.42|0.0|11.42|11.42|0.0|0.0|-3.0
455|logSalePrice|1|1|11.1|11.1|11.1|11.1|11.1|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.1|11.1|0.0|11.1|11.1|0.0|0.0|-3.0
456|logSalePrice|1|1|11.71|11.71|11.71|11.71|11.71|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.71|11.71|0.0|11.71|11.71|0.0|0.0|-3.0
457|logSalePrice|1|1|11.56|11.56|11.56|11.56|11.56|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.56|11.56|0.0|11.56|11.56|0.0|0.0|-3.0
462|logSalePrice|6|1|11.42|11.42|11.42|11.42||5|83.33|||0|0.0|0|0.0|1|16.67|5|83.33|1|11.42|11.42|0.0|11.42|11.42|0.0|0.0|-3.0
464|logSalePrice|2|1|11.67|11.67|11.67|11.67||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.67|11.67|0.0|11.67|11.67|0.0|0.0|-3.0
465|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
466|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
467|logSalePrice|2|2|23.83|11.91|11.91|11.91|11.9|1|50.0|0.0|0.02|0|0.0|0|0.0|2|100.0|0|0.0|2|11.9|11.93|0.03|11.91|11.92|0.02|0.0|-2.0
468|logSalePrice|3|1|11.81|11.81|11.81|11.81||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|11.81|11.81|0.0|11.81|11.81|0.0|0.0|-3.0
472|logSalePrice|2|2|23.67|11.84|11.84|11.84|11.81|1|50.0|0.0|0.03|0|0.0|0|0.0|2|100.0|0|0.0|2|11.81|11.86|0.05|11.82|11.85|0.02|0.0|-2.0
473|logSalePrice|3|1|11.81|11.81|11.81|11.81||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|11.81|11.81|0.0|11.81|11.81|0.0|0.0|-3.0
475|logSalePrice|1|1|12.02|12.02|12.02|12.02|12.02|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.02|12.02|0.0|12.02|12.02|0.0|0.0|-3.0
476|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
477|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
482|logSalePrice|1|1|12.35|12.35|12.35|12.35|12.35|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.35|12.35|0.0|12.35|12.35|0.0|0.0|-3.0
486|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
488|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
492|logSalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
493|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
