3SsnPorch|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
0|logSalePrice|2764|1318|15755.34|11.95|11.95|11.95||1446|52.32|0.11|0.33|0|0.0|0|0.0|1318|47.68|1446|52.32|563|10.47|12.61|2.14|11.76|12.18|0.42|-0.46|0.61
23|logSalePrice|1|1|12.04|12.04|12.04|12.04|12.04|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.04|12.04|0.0|12.04|12.04|0.0|0.0|-3.0
86|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
96|logSalePrice|1|1|12.1|12.1|12.1|12.1|12.1|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.1|12.1|0.0|12.1|12.1|0.0|0.0|-3.0
120|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
130|logSalePrice|1|1|12.1|12.1|12.1|12.1|12.1|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.1|12.1|0.0|12.1|12.1|0.0|0.0|-3.0
140|logSalePrice|1|1|11.81|11.81|11.81|11.81|11.81|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.81|11.81|0.0|11.81|11.81|0.0|0.0|-3.0
144|logSalePrice|2|2|24.52|12.26|12.26|12.26|12.27|1|50.0|0.0|0.01|0|0.0|0|0.0|2|100.0|0|0.0|2|12.25|12.27|0.01|12.26|12.27|0.01|0.0|-2.0
150|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
153|logSalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
162|logSalePrice|1|1|11.92|11.92|11.92|11.92|11.92|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.92|11.92|0.0|11.92|11.92|0.0|0.0|-3.0
168|logSalePrice|2|2|24.37|12.19|12.19|12.19|12.1|1|50.0|0.01|0.12|0|0.0|0|0.0|2|100.0|0|0.0|2|12.1|12.27|0.17|12.14|12.23|0.09|0.0|-2.0
174|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
176|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
180|logSalePrice|2|2|23.61|11.81|11.81|11.81|11.7|1|50.0|0.02|0.16|0|0.0|0|0.0|2|100.0|0|0.0|2|11.7|11.92|0.22|11.75|11.86|0.11|-0.0|-2.0
182|logSalePrice|1|1|12.31|12.31|12.31|12.31|12.31|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.31|12.31|0.0|12.31|12.31|0.0|0.0|-3.0
196|logSalePrice|1|1|12.34|12.34|12.34|12.34|12.34|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.34|12.34|0.0|12.34|12.34|0.0|0.0|-3.0
216|logSalePrice|2|2|24.2|12.1|12.1|12.1|12.32|1|50.0|0.09|0.31|0|0.0|0|0.0|2|100.0|0|0.0|2|11.88|12.32|0.43|11.99|12.21|0.22|0.0|-2.0
219|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
224|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
225|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
238|logSalePrice|1|1|12.18|12.18|12.18|12.18|12.18|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.18|12.18|0.0|12.18|12.18|0.0|0.0|-3.0
245|logSalePrice|1|1|12.35|12.35|12.35|12.35|12.35|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.35|12.35|0.0|12.35|12.35|0.0|0.0|-3.0
255|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
290|logSalePrice|1|1|12.48|12.48|12.48|12.48|12.48|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.48|12.48|0.0|12.48|12.48|0.0|0.0|-3.0
320|logSalePrice|1|1|11.87|11.87|11.87|11.87|11.87|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.87|11.87|0.0|11.87|11.87|0.0|0.0|-3.0
323|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
360|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
407|logSalePrice|1|1|12.1|12.1|12.1|12.1|12.1|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.1|12.1|0.0|12.1|12.1|0.0|0.0|-3.0
508|logSalePrice|1|1|12.1|12.1|12.1|12.1|12.1|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.1|12.1|0.0|12.1|12.1|0.0|0.0|-3.0
