LotArea|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
1300|logSalePrice|1|1|11.73|11.73|11.73|11.73|11.73|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.73|11.73|0.0|11.73|11.73|0.0|0.0|-3.0
1470|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1476|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1477|logSalePrice|2|1|11.29|11.29|11.29|11.29|11.29|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.29|11.29|0.0|11.29|11.29|0.0|0.0|-3.0
1484|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1488|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1491|logSalePrice|1|1|11.23|11.23|11.23|11.23|11.23|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.23|11.23|0.0|11.23|11.23|0.0|0.0|-3.0
1495|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1504|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1526|logSalePrice|2|1|11.36|11.36|11.36|11.36|11.36|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.36|11.36|0.0|11.36|11.36|0.0|0.0|-3.0
