MoSold|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
1|logSalePrice|116|52|616.59|11.86|11.85|11.85||64|55.17|0.19|0.44|0|0.0|0|0.0|52|44.83|64|55.17|48|10.58|12.6|2.02|11.6|12.17|0.57|-0.62|0.29
2|logSalePrice|131|50|601.1|12.02|12.02|12.06||81|61.83|0.07|0.27|0|0.0|0|0.0|50|38.17|81|61.83|46|11.44|12.55|1.11|11.76|12.24|0.48|-0.06|-1.03
3|logSalePrice|222|96|1146.59|11.94|11.94|11.98||126|56.76|0.1|0.32|0|0.0|0|0.0|96|43.24|126|56.76|85|10.87|12.57|1.71|11.79|12.13|0.34|-0.64|0.74
4|logSalePrice|269|131|1560.58|11.91|11.91|11.86||138|51.3|0.1|0.32|0|0.0|0|0.0|131|48.7|138|51.3|104|11.13|12.59|1.46|11.69|12.15|0.45|0.12|-0.47
5|logSalePrice|381|191|2279.18|11.93|11.93|11.9||190|49.87|0.11|0.33|0|0.0|0|0.0|191|50.13|190|49.87|148|10.54|12.59|2.05|11.74|12.15|0.42|-0.34|0.74
6|logSalePrice|488|238|2848.97|11.97|11.97|11.98||250|51.23|0.09|0.31|0|0.0|0|0.0|238|48.77|250|51.23|182|10.93|12.58|1.64|11.81|12.15|0.35|-0.55|0.55
7|logSalePrice|425|213|2547.15|11.96|11.95|11.97||212|49.88|0.11|0.33|0|0.0|0|0.0|213|50.12|212|49.88|167|10.6|12.61|2.01|11.78|12.17|0.39|-0.69|1.34
8|logSalePrice|221|110|1318.08|11.98|11.98|12.01||111|50.23|0.13|0.36|0|0.0|0|0.0|110|49.77|111|50.23|97|11.07|12.56|1.49|11.73|12.24|0.51|-0.22|-0.57
9|logSalePrice|149|54|647.44|11.99|11.98|12.05||95|63.76|0.12|0.34|0|0.0|0|0.0|54|36.24|95|63.76|52|11.11|12.6|1.49|11.77|12.25|0.48|-0.43|-0.39
10|logSalePrice|166|82|979.92|11.95|11.95|11.94||84|50.6|0.11|0.33|0|0.0|0|0.0|82|49.4|84|50.6|73|10.47|12.56|2.08|11.77|12.15|0.38|-1.0|3.69
11|logSalePrice|130|67|803.24|11.99|11.98|11.99||63|48.46|0.1|0.32|0|0.0|0|0.0|67|51.54|63|48.46|59|11.11|12.58|1.47|11.76|12.22|0.47|-0.12|-0.52
12|logSalePrice|100|55|660.94|12.02|12.01|12.04||45|45.0|0.14|0.38|0|0.0|0|0.0|55|55.0|45|45.0|53|11.04|12.58|1.54|11.81|12.34|0.53|-0.47|-0.57
