OpenPorchSF|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
0|logSalePrice|1281|639|7541.51|11.8|11.8|11.82||642|50.12|0.09|0.3|0|0.0|0|0.0|639|49.88|642|50.12|319|10.47|12.59|2.12|11.65|11.97|0.32|-0.51|1.56
4|logSalePrice|1|1|11.68|11.68|11.68|11.68|11.68|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.68|11.68|0.0|11.68|11.68|0.0|0.0|-3.0
6|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
8|logSalePrice|1|1|11.28|11.28|11.28|11.28|11.28|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.28|11.28|0.0|11.28|11.28|0.0|0.0|-3.0
10|logSalePrice|2|1|12.38|12.38|12.38|12.38||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|12.38|12.38|0.0|12.38|12.38|0.0|0.0|-3.0
11|logSalePrice|3|1|11.85|11.85|11.85|11.85||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|11.85|11.85|0.0|11.85|11.85|0.0|0.0|-3.0
12|logSalePrice|4|2|23.93|11.97|11.97|11.97||2|50.0|0.0|0.06|0|0.0|0|0.0|2|50.0|2|50.0|2|11.93|12.01|0.08|11.95|11.99|0.04|0.0|-2.0
15|logSalePrice|2|1|11.82|11.82|11.82|11.82||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.82|11.82|0.0|11.82|11.82|0.0|0.0|-3.0
16|logSalePrice|15|8|96.24|12.03|12.03|12.01||7|46.67|0.03|0.18|0|0.0|0|0.0|8|53.33|7|46.67|8|11.81|12.37|0.55|11.94|12.09|0.14|0.6|-0.34
17|logSalePrice|2|2|24.29|12.15|12.15|12.15|12.3|1|50.0|0.05|0.21|0|0.0|0|0.0|2|100.0|0|0.0|2|12.0|12.3|0.3|12.07|12.22|0.15|0.0|-2.0
18|logSalePrice|7|5|60.24|12.05|12.05|12.15||2|28.57|0.05|0.23|0|0.0|0|0.0|5|71.43|2|28.57|5|11.79|12.27|0.48|11.81|12.21|0.4|-0.3|-1.77
20|logSalePrice|33|21|251.03|11.95|11.95|12.08||12|36.36|0.16|0.4|0|0.0|0|0.0|21|63.64|12|36.36|21|10.87|12.42|1.55|11.84|12.21|0.36|-1.28|0.86
21|logSalePrice|12|4|48.74|12.18|12.18|12.19||8|66.67|0.02|0.14|0|0.0|0|0.0|4|33.33|8|66.67|4|12.04|12.32|0.28|12.07|12.3|0.23|-0.0|-1.93
22|logSalePrice|9|6|72.19|12.03|12.03|12.08||3|33.33|0.03|0.17|0|0.0|0|0.0|6|66.67|3|33.33|6|11.68|12.14|0.46|12.07|12.12|0.05|-1.67|1.0
23|logSalePrice|5|2|23.75|11.87|11.87|11.87||3|60.0|0.22|0.47|0|0.0|0|0.0|2|40.0|3|60.0|2|11.54|12.21|0.66|11.71|12.04|0.33|0.0|-2.0
24|logSalePrice|35|15|178.91|11.93|11.92|12.06||20|57.14|0.12|0.35|0|0.0|0|0.0|15|42.86|20|57.14|15|11.23|12.47|1.24|11.72|12.1|0.37|-0.65|-0.25
25|logSalePrice|11|7|84.06|12.01|12.01|12.01||4|36.36|0.07|0.27|0|0.0|0|0.0|7|63.64|4|36.36|7|11.61|12.3|0.69|11.85|12.22|0.37|-0.41|-1.25
26|logSalePrice|16|6|72.4|12.07|12.06|12.07||10|62.5|0.07|0.26|0|0.0|0|0.0|6|37.5|10|62.5|6|11.75|12.52|0.77|11.92|12.1|0.18|0.69|-0.27
27|logSalePrice|9|6|71.93|11.99|11.99|12.06||3|33.33|0.07|0.27|0|0.0|0|0.0|6|66.67|3|33.33|5|11.5|12.29|0.79|11.97|12.07|0.1|-1.06|0.23
28|logSalePrice|35|14|166.3|11.88|11.88|11.88||21|60.0|0.08|0.28|0|0.0|0|0.0|14|40.0|21|60.0|14|11.45|12.52|1.08|11.68|12.01|0.33|0.64|0.27
29|logSalePrice|7|5|60.84|12.17|12.16|12.27||2|28.57|0.1|0.32|0|0.0|0|0.0|5|71.43|2|28.57|5|11.61|12.4|0.79|12.23|12.33|0.1|-1.34|0.05
30|logSalePrice|29|14|168.22|12.02|12.01|11.96||15|51.72|0.08|0.29|0|0.0|0|0.0|14|48.28|15|51.72|14|11.35|12.51|1.16|11.87|12.21|0.33|-0.35|0.39
31|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
32|logSalePrice|36|9|107.28|11.92|11.92|12.03||27|75.0|0.06|0.25|0|0.0|0|0.0|9|25.0|27|75.0|9|11.44|12.19|0.75|11.81|12.09|0.28|-0.8|-0.5
33|logSalePrice|13|7|86.66|12.38|12.38|12.41||6|46.15|0.03|0.16|0|0.0|0|0.0|7|53.85|6|46.15|7|12.14|12.56|0.42|12.26|12.52|0.26|-0.27|-1.42
34|logSalePrice|13|4|48.4|12.1|12.1|12.11||9|69.23|0.04|0.19|0|0.0|0|0.0|4|30.77|9|69.23|4|11.85|12.32|0.47|12.04|12.17|0.13|-0.23|-0.99
35|logSalePrice|23|11|133.25|12.11|12.11|12.17||12|52.17|0.05|0.22|0|0.0|0|0.0|11|47.83|12|52.17|11|11.61|12.38|0.78|12.07|12.24|0.18|-1.08|0.51
