YearBuilt|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
1872|logSalePrice|1|1|11.71|11.71|11.71|11.71|11.71|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.71|11.71|0.0|11.71|11.71|0.0|0.0|-3.0
1875|logSalePrice|1|1|11.45|11.45|11.45|11.45|11.45|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.45|11.45|0.0|11.45|11.45|0.0|0.0|-3.0
1879|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1880|logSalePrice|5|4|48.49|12.12|12.11|12.11|11.73|1|20.0|0.24|0.49|0|0.0|0|0.0|4|80.0|1|20.0|4|11.67|12.59|0.92|11.71|12.52|0.8|0.02|-1.96
1882|logSalePrice|1|1|12.03|12.03|12.03|12.03|12.03|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.03|12.03|0.0|12.03|12.03|0.0|0.0|-3.0
1885|logSalePrice|2|2|23.23|11.61|11.61|11.61|11.51|1|50.0|0.02|0.14|0|0.0|0|0.0|2|100.0|0|0.0|2|11.51|11.72|0.2|11.56|11.67|0.1|0.0|-2.0
1890|logSalePrice|7|2|23.72|11.86|11.86|11.86||5|71.43|0.03|0.17|0|0.0|0|0.0|2|28.57|5|71.43|2|11.74|11.98|0.24|11.8|11.92|0.12|0.0|-2.0
1892|logSalePrice|1|1|11.59|11.59|11.59|11.59|11.59|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.59|11.59|0.0|11.59|11.59|0.0|0.0|-3.0
1895|logSalePrice|3|0|0.0|||||3|100.0|||0|0.0|0|0.0|0|0.0|3|100.0|0|||||||0.0|0.0
1896|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1898|logSalePrice|1|1|11.57|11.57|11.57|11.57|11.57|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.57|11.57|0.0|11.57|11.57|0.0|0.0|-3.0
1900|logSalePrice|29|10|116.04|11.6|11.6|11.56||19|65.52|0.06|0.24|0|0.0|0|0.0|10|34.48|19|65.52|10|11.28|11.98|0.71|11.42|11.81|0.39|0.3|-1.23
1901|logSalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
1902|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1904|logSalePrice|1|1|11.97|11.97|11.97|11.97|11.97|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.97|11.97|0.0|11.97|11.97|0.0|0.0|-3.0
1905|logSalePrice|3|1|12.0|12.0|12.0|12.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|12.0|12.0|0.0|12.0|12.0|0.0|0.0|-3.0
1906|logSalePrice|1|1|11.81|11.81|11.81|11.81|11.81|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.81|11.81|0.0|11.81|11.81|0.0|0.0|-3.0
1907|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1908|logSalePrice|2|2|24.14|12.07|12.07|12.07|11.75|1|50.0|0.2|0.45|0|0.0|0|0.0|2|100.0|0|0.0|2|11.75|12.39|0.64|11.91|12.23|0.32|-0.0|-2.0
1910|logSalePrice|43|17|196.91|11.58|11.58|11.65||26|60.47|0.11|0.33|0|0.0|0|0.0|17|39.53|26|60.47|16|10.54|12.03|1.49|11.48|11.79|0.31|-1.82|3.82
1911|logSalePrice|1|1|11.78|11.78|11.78|11.78|11.78|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.78|11.78|0.0|11.78|11.78|0.0|0.0|-3.0
1912|logSalePrice|5|3|35.05|11.68|11.68|11.68||2|40.0|0.02|0.13|0|0.0|0|0.0|3|60.0|2|40.0|3|11.55|11.82|0.27|11.62|11.75|0.13|0.03|-1.5
1913|logSalePrice|1|1|11.41|11.41|11.41|11.41|11.41|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.41|11.41|0.0|11.41|11.41|0.0|0.0|-3.0
1914|logSalePrice|8|7|81.65|11.66|11.66|11.76|11.11|1|12.5|0.21|0.45|0|0.0|0|0.0|7|87.5|1|12.5|7|10.98|12.21|1.23|11.43|11.92|0.49|-0.56|-1.08
1915|logSalePrice|24|10|117.87|11.79|11.78|11.85||14|58.33|0.05|0.22|0|0.0|0|0.0|10|41.67|14|58.33|10|11.35|12.08|0.73|11.63|11.94|0.32|-0.66|-0.56
1916|logSalePrice|10|8|94.57|11.82|11.82|11.82||2|20.0|0.06|0.24|0|0.0|0|0.0|8|80.0|2|20.0|8|11.49|12.28|0.78|11.68|11.9|0.22|0.56|-0.19
1917|logSalePrice|3|1|11.77|11.77|11.77|11.77||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|11.77|11.77|0.0|11.77|11.77|0.0|0.0|-3.0
1918|logSalePrice|10|7|84.1|12.01|12.01|12.13||3|30.0|0.1|0.32|0|0.0|0|0.0|7|70.0|3|30.0|7|11.63|12.38|0.76|11.72|12.26|0.54|-0.09|-1.64
1919|logSalePrice|5|3|35.79|11.93|11.93|12.04||2|40.0|0.06|0.24|0|0.0|0|0.0|3|60.0|2|40.0|3|11.65|12.1|0.45|11.85|12.07|0.23|-0.65|-1.5
