YearRemodAdd|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
1950|logSalePrice|359|176|2044.81|11.62|11.61|11.65||183|50.97|0.11|0.34|0|0.0|0|0.0|176|49.03|183|50.97|131|10.47|12.41|1.93|11.44|11.83|0.39|-0.63|1.39
1951|logSalePrice|14|4|47.07|11.77|11.77|11.84||10|71.43|0.02|0.16|0|0.0|0|0.0|4|28.57|10|71.43|4|11.53|11.86|0.32|11.76|11.85|0.09|-1.14|-0.68
1952|logSalePrice|15|5|57.72|11.54|11.54|11.72||10|66.67|0.18|0.42|0|0.0|0|0.0|5|33.33|10|66.67|5|10.93|12.02|1.09|11.31|11.73|0.42|-0.44|-1.11
1953|logSalePrice|20|10|118.52|11.85|11.85|11.93||10|50.0|0.11|0.34|0|0.0|0|0.0|10|50.0|10|50.0|10|11.29|12.32|1.04|11.64|12.01|0.37|-0.21|-0.94
1954|logSalePrice|28|14|163.7|11.69|11.69|11.68||14|50.0|0.03|0.16|0|0.0|0|0.0|14|50.0|14|50.0|13|11.44|12.01|0.57|11.61|11.79|0.18|0.12|-0.38
1955|logSalePrice|25|9|105.48|11.72|11.72|11.78||16|64.0|0.03|0.17|0|0.0|0|0.0|9|36.0|16|64.0|9|11.31|11.88|0.57|11.68|11.82|0.14|-1.55|1.59
1956|logSalePrice|30|10|117.23|11.72|11.72|11.77||20|66.67|0.02|0.13|0|0.0|0|0.0|10|33.33|20|66.67|9|11.48|11.84|0.36|11.66|11.81|0.15|-0.95|-0.64
1957|logSalePrice|20|9|105.98|11.78|11.77|11.86||11|55.0|0.05|0.22|0|0.0|0|0.0|9|45.0|11|55.0|9|11.34|12.02|0.68|11.63|11.92|0.29|-0.87|-0.24
1958|logSalePrice|34|15|175.97|11.73|11.73|11.82||19|55.88|0.08|0.28|0|0.0|0|0.0|15|44.12|19|55.88|15|11.0|12.06|1.06|11.63|11.88|0.25|-1.33|1.36
1959|logSalePrice|30|18|212.54|11.81|11.81|11.83||12|40.0|0.03|0.17|0|0.0|0|0.0|18|60.0|12|40.0|17|11.29|12.04|0.75|11.76|11.9|0.14|-1.44|2.67
1960|logSalePrice|29|12|142.33|11.86|11.86|11.92||17|58.62|0.06|0.24|0|0.0|0|0.0|12|41.38|17|58.62|12|11.28|12.28|0.99|11.75|11.96|0.21|-0.83|1.3
1961|logSalePrice|24|8|94.24|11.78|11.78|11.8||16|66.67|0.02|0.15|0|0.0|0|0.0|8|33.33|16|66.67|8|11.5|12.0|0.5|11.74|11.85|0.11|-0.56|0.12
1962|logSalePrice|26|14|166.26|11.88|11.87|11.88||12|46.15|0.03|0.16|0|0.0|0|0.0|14|53.85|12|46.15|14|11.53|12.08|0.55|11.8|12.01|0.21|-0.72|-0.3
1963|logSalePrice|30|13|153.92|11.84|11.84|11.83||17|56.67|0.02|0.13|0|0.0|0|0.0|13|43.33|17|56.67|13|11.61|12.14|0.53|11.79|11.87|0.08|0.59|0.6
1964|logSalePrice|26|11|131.63|11.97|11.97|12.03||15|57.69|0.03|0.16|0|0.0|0|0.0|11|42.31|15|57.69|10|11.65|12.15|0.5|11.93|12.07|0.14|-0.97|-0.29
1965|logSalePrice|27|18|211.52|11.75|11.75|11.81||9|33.33|0.07|0.27|0|0.0|0|0.0|18|66.67|9|33.33|17|11.04|12.34|1.3|11.61|11.86|0.26|-0.53|1.67
1966|logSalePrice|27|15|178.06|11.87|11.87|11.94||12|44.44|0.1|0.31|0|0.0|0|0.0|15|55.56|12|44.44|14|11.25|12.52|1.28|11.67|12.0|0.32|0.18|0.12
1967|logSalePrice|34|12|141.23|11.77|11.77|11.74||22|64.71|0.04|0.19|0|0.0|0|0.0|12|35.29|22|64.71|11|11.41|12.13|0.72|11.72|11.87|0.15|-0.07|-0.05
1968|logSalePrice|39|17|202.54|11.91|11.91|11.86||22|56.41|0.05|0.23|0|0.0|0|0.0|17|43.59|22|56.41|17|11.59|12.4|0.82|11.78|12.08|0.3|0.32|-0.48
1969|logSalePrice|26|14|167.2|11.94|11.94|11.93||12|46.15|0.05|0.22|0|0.0|0|0.0|14|53.85|12|46.15|14|11.59|12.31|0.73|11.82|12.09|0.27|0.05|-0.87
1970|logSalePrice|44|26|306.59|11.79|11.79|11.77||18|40.91|0.11|0.33|0|0.0|0|0.0|26|59.09|18|40.91|25|11.23|12.5|1.27|11.57|12.0|0.43|0.16|-0.57
1971|logSalePrice|31|18|210.04|11.67|11.67|11.67||13|41.94|0.06|0.24|0|0.0|0|0.0|18|58.06|13|41.94|17|11.36|12.15|0.8|11.44|11.81|0.37|0.43|-0.72
1972|logSalePrice|35|20|234.69|11.73|11.73|11.76||15|42.86|0.04|0.21|0|0.0|0|0.0|20|57.14|15|42.86|20|11.23|12.01|0.78|11.67|11.85|0.19|-0.92|0.35
1973|logSalePrice|21|11|129.59|11.78|11.78|11.81||10|47.62|0.13|0.37|0|0.0|0|0.0|11|52.38|10|47.62|11|11.33|12.4|1.08|11.47|12.01|0.54|0.21|-1.16
1974|logSalePrice|19|7|83.81|11.97|11.97|12.01||12|63.16|0.01|0.11|0|0.0|0|0.0|7|36.84|12|63.16|6|11.82|12.13|0.31|11.88|12.04|0.16|-0.1|-1.38
1975|logSalePrice|30|10|120.31|12.03|12.03|12.04||20|66.67|0.09|0.29|0|0.0|0|0.0|10|33.33|20|66.67|10|11.61|12.54|0.93|11.8|12.18|0.38|0.22|-0.83
1976|logSalePrice|48|30|358.64|11.95|11.95|11.93||18|37.5|0.06|0.24|0|0.0|0|0.0|30|62.5|18|37.5|29|11.35|12.57|1.22|11.8|12.14|0.34|-0.03|0.64
1977|logSalePrice|45|24|286.76|11.95|11.95|11.98||21|46.67|0.04|0.2|0|0.0|0|0.0|24|53.33|21|46.67|22|11.32|12.29|0.97|11.84|12.06|0.22|-1.05|2.13
1978|logSalePrice|36|16|191.31|11.96|11.96|11.94||20|55.56|0.03|0.18|0|0.0|0|0.0|16|44.44|20|55.56|16|11.63|12.43|0.8|11.9|12.01|0.12|0.81|1.73
1979|logSalePrice|24|10|118.84|11.88|11.88|11.85||14|58.33|0.08|0.27|0|0.0|0|0.0|10|41.67|14|58.33|10|11.51|12.47|0.96|11.71|11.93|0.22|0.89|0.24
