Attr|Coef|Imp
Utilities_ord|3.7393854351605285|0.8809181221896107
KitchenAbvGr|-0.0985272586443251|0.023210885631992348
BldgType_2fmCon_bin|0.06503723629760516|0.015321362578187616
Foundation_CBlock_bin|-0.058956653036894124|0.013888909015771363
OverallCond|0.05873707534922762|0.01383718127396782
ExterQual_ord|0.04721462116028696|0.011122740924573434
LotConfig_CulDSac_bin|0.04513220145453489|0.01063216799792272
HalfBath|0.029890782310455277|0.007041620148625924
HouseStyle_1Story_bin|-0.023529526112060162|0.005543046128315904
PavedDrive_ord|0.0221339666823257|0.00521428258854111
HeatingQC_ord|0.019461821988342565|0.0045847832424964294
Neighborhood_CollgCr_bin|-0.011927491505519194|0.0028098583581885935
BsmtExposure_ord|0.006936182736617835|0.0016340142457775479
YrSold|-0.006370016681494173|0.0015006378001623272
YearBuilt|0.004073503873788124|0.0009596291811719836
Exterior1st_VinylSd_bin|-0.003541296972230157|0.0008342527757529286
YearRemodAdd|0.0009698278289155052|0.00022847040635670603
LotFrontage|0.0008253816904204292|0.00019444202835529247
GarageYrBlt|-0.0007299817938189526|0.00017196788140562183
MSSubClass|-0.0002505113066322653|5.901503165487067e-05
PoolArea|0.00020349638621778665|4.7939335895618573e-05
EnclosedPorch|0.00020102498873528088|4.7357128239514874e-05
GarageArea|0.00019032040333300882|4.483536004126467e-05
GrLivArea|0.00013365731092089723|3.1486764174203194e-05
TotalSF|0.00012724553267881534|2.9976288255940834e-05
3SsnPorch|0.00011465055258941823|2.700918406148089e-05
1stFlrSF|6.863890760424587e-05|1.6169838237946377e-05
WoodDeckSF|6.442310202625949e-05|1.5176685860992537e-05
BsmtFinSF1|4.1167851664792937e-05|9.698253152011057e-06
TotalBsmtSF|3.0724679712329376e-05|7.238068293941597e-06
2ndFlrSF|2.7881952594617336e-05|6.56838342784411e-06
BsmtUnfSF|-2.1664404140012703e-05|5.103663835754748e-06
BsmtFinSF2|1.122120173734469e-05|2.6434718042774134e-06
MasVnrArea|-2.378646030328554e-06|5.603574252304506e-07
MiscVal|-1.9175354151303517e-06|4.5172976319735536e-07
LotArea|1.6812188279427992e-06|3.9605869963966695e-07
Exterior2nd_Wd Sdng_bin|0.0|0.0
Exterior2nd_Other_bin|0.0|0.0
BsmtFinType1_LwQ_bin|0.0|0.0
Exterior2nd_Plywood_bin|0.0|0.0
Exterior2nd_Stone_bin|0.0|0.0
Exterior2nd_Stucco_bin|0.0|0.0
Exterior2nd_VinylSd_bin|0.0|0.0
MasVnrType_Stone_bin|0.0|0.0
Exterior2nd_ImStucc_bin|0.0|0.0
Exterior2nd_Wd Shng_bin|0.0|0.0
BsmtFinType1_GLQ_bin|0.0|0.0
BsmtFinType1_BLQ_bin|0.0|0.0
Foundation_Wood_bin|0.0|0.0
Foundation_Stone_bin|0.0|0.0
MasVnrType_BrkFace_bin|0.0|0.0
Foundation_Slab_bin|0.0|0.0
MasVnrType_None_bin|0.0|0.0
Foundation_PConc_bin|0.0|0.0
Exterior2nd_MetalSd_bin|0.0|0.0
Exterior1st_Stucco_bin|0.0|0.0
Exterior2nd_HdBoard_bin|0.0|0.0
Exterior2nd_CmentBd_bin|0.0|0.0
RoofMatl_WdShake_bin|0.0|0.0
RoofMatl_WdShngl_bin|0.0|0.0
Exterior1st_AsphShn_bin|0.0|0.0
Exterior1st_BrkComm_bin|0.0|0.0
Exterior1st_BrkFace_bin|0.0|0.0
Exterior1st_CBlock_bin|0.0|0.0
Exterior1st_CemntBd_bin|0.0|0.0
Exterior1st_HdBoard_bin|0.0|0.0
Exterior1st_ImStucc_bin|0.0|0.0
Exterior1st_MetalSd_bin|0.0|0.0
Exterior1st_Plywood_bin|0.0|0.0
Exterior1st_Stone_bin|0.0|0.0
BsmtFinType1_Unf_bin|0.0|0.0
Exterior1st_Wd Sdng_bin|0.0|0.0
Exterior1st_WdShing_bin|0.0|0.0
Exterior2nd_AsphShn_bin|0.0|0.0
Exterior2nd_Brk Cmn_bin|0.0|0.0
Exterior2nd_BrkFace_bin|0.0|0.0
Exterior2nd_CBlock_bin|0.0|0.0
BsmtFinType1_Rec_bin|0.0|0.0
Electrical_Mix_bin|0.0|0.0
BsmtFinType2_BLQ_bin|0.0|0.0
SaleType_Con_bin|0.0|0.0
Fence_GdWo_bin|0.0|0.0
Fence_MnPrv_bin|0.0|0.0
Fence_MnWw_bin|0.0|0.0
Fence_None_bin|0.0|0.0
MiscFeature_None_bin|0.0|0.0
MiscFeature_Othr_bin|0.0|0.0
MiscFeature_Shed_bin|0.0|0.0
MiscFeature_TenC_bin|0.0|0.0
SaleType_CWD_bin|0.0|0.0
SaleType_ConLD_bin|0.0|0.0
GarageType_CarPort_bin|0.0|0.0
SaleType_ConLI_bin|0.0|0.0
SaleType_ConLw_bin|0.0|0.0
SaleType_New_bin|0.0|0.0
SaleType_Oth_bin|0.0|0.0
SaleType_WD_bin|0.0|0.0
SaleCondition_AdjLand_bin|0.0|0.0
SaleCondition_Alloca_bin|0.0|0.0
SaleCondition_Family_bin|0.0|0.0
SaleCondition_Normal_bin|0.0|0.0
GarageType_Detchd_bin|0.0|0.0
GarageType_BuiltIn_bin|0.0|0.0
BsmtFinType2_GLQ_bin|0.0|0.0
Electrical_FuseF_bin|0.0|0.0
BsmtFinType2_LwQ_bin|0.0|0.0
BsmtFinType2_Rec_bin|0.0|0.0
BsmtFinType2_Unf_bin|0.0|0.0
Heating_GasA_bin|0.0|0.0
Heating_GasW_bin|0.0|0.0
Heating_Grav_bin|0.0|0.0
Heating_OthW_bin|0.0|0.0
Heating_Wall_bin|0.0|0.0
CentralAir_Y_bin|0.0|0.0
Electrical_FuseP_bin|0.0|0.0
GarageType_Basment_bin|0.0|0.0
RoofMatl_Roll_bin|0.0|0.0
Electrical_SBrkr_bin|0.0|0.0
Functional_Maj2_bin|0.0|0.0
Functional_Min1_bin|0.0|0.0
Functional_Min2_bin|0.0|0.0
Functional_Mod_bin|0.0|0.0
Functional_Sev_bin|0.0|0.0
Functional_Typ_bin|0.0|0.0
GarageType_Attchd_bin|0.0|0.0
RoofMatl_Tar&Grv_bin|0.0|0.0
BldgType_Twnhs_bin|0.0|0.0
RoofMatl_Metal_bin|0.0|0.0
LotConfig_FR2_bin|0.0|0.0
Alley_ord|0.0|0.0
MSZoning_FV_bin|0.0|0.0
MSZoning_RH_bin|0.0|0.0
MSZoning_RL_bin|0.0|0.0
MSZoning_RM_bin|0.0|0.0
Street_Pave_bin|0.0|0.0
LandContour_HLS_bin|0.0|0.0
LandContour_Low_bin|0.0|0.0
LandContour_Lvl_bin|0.0|0.0
LotConfig_FR3_bin|0.0|0.0
RoofMatl_Membran_bin|0.0|0.0
LotConfig_Inside_bin|0.0|0.0
LandSlope_Mod_bin|0.0|0.0
LandSlope_Sev_bin|0.0|0.0
Neighborhood_Blueste_bin|0.0|0.0
Neighborhood_BrDale_bin|0.0|0.0
Neighborhood_BrkSide_bin|0.0|0.0
Neighborhood_ClearCr_bin|0.0|0.0
Neighborhood_Crawfor_bin|0.0|0.0
Neighborhood_Edwards_bin|0.0|0.0
GarageFinish_ord|0.0|0.0
LandSlope_ord|0.0|0.0
LotShape_ord|0.0|0.0
PoolQC_ord|0.0|0.0
OverallQual|0.0|0.0
LowQualFinSF|0.0|0.0
BsmtFullBath|0.0|0.0
BsmtHalfBath|0.0|0.0
FullBath|0.0|0.0
BedroomAbvGr|0.0|0.0
TotRmsAbvGrd|0.0|0.0
Fireplaces|0.0|0.0
GarageCars|0.0|0.0
OpenPorchSF|0.0|0.0
ScreenPorch|0.0|0.0
MoSold|0.0|0.0
ExterCond_ord|0.0|0.0
BsmtQual_ord|0.0|0.0
BsmtCond_ord|0.0|0.0
KitchenQual_ord|0.0|0.0
FireplaceQu_ord|0.0|0.0
GarageQual_ord|0.0|0.0
GarageCond_ord|0.0|0.0
Neighborhood_Gilbert_bin|0.0|0.0
Neighborhood_IDOTRR_bin|0.0|0.0
Neighborhood_MeadowV_bin|0.0|0.0
Condition2_Feedr_bin|0.0|0.0
Condition2_PosA_bin|0.0|0.0
Condition2_PosN_bin|0.0|0.0
Condition2_RRAe_bin|0.0|0.0
Condition2_RRAn_bin|0.0|0.0
Condition2_RRNn_bin|0.0|0.0
BldgType_Duplex_bin|0.0|0.0
BldgType_TwnhsE_bin|0.0|0.0
HouseStyle_1.5Unf_bin|0.0|0.0
HouseStyle_2.5Fin_bin|0.0|0.0
HouseStyle_2.5Unf_bin|0.0|0.0
HouseStyle_2Story_bin|0.0|0.0
HouseStyle_SFoyer_bin|0.0|0.0
HouseStyle_SLvl_bin|0.0|0.0
RoofStyle_Gable_bin|0.0|0.0
RoofStyle_Gambrel_bin|0.0|0.0
RoofStyle_Hip_bin|0.0|0.0
RoofStyle_Mansard_bin|0.0|0.0
RoofStyle_Shed_bin|0.0|0.0
RoofMatl_CompShg_bin|0.0|0.0
Condition2_Norm_bin|0.0|0.0
Condition1_RRNn_bin|0.0|0.0
Neighborhood_Mitchel_bin|0.0|0.0
Condition1_RRNe_bin|0.0|0.0
Neighborhood_NAmes_bin|0.0|0.0
Neighborhood_NPkVill_bin|0.0|0.0
Neighborhood_NWAmes_bin|0.0|0.0
Neighborhood_NoRidge_bin|0.0|0.0
Neighborhood_NridgHt_bin|0.0|0.0
Neighborhood_OldTown_bin|0.0|0.0
Neighborhood_SWISU_bin|0.0|0.0
Neighborhood_Sawyer_bin|0.0|0.0
Neighborhood_SawyerW_bin|0.0|0.0
Neighborhood_Somerst_bin|0.0|0.0
Neighborhood_StoneBr_bin|0.0|0.0
Neighborhood_Timber_bin|0.0|0.0
Neighborhood_Veenker_bin|0.0|0.0
Condition1_Feedr_bin|0.0|0.0
Condition1_Norm_bin|0.0|0.0
Condition1_PosA_bin|0.0|0.0
Condition1_PosN_bin|0.0|0.0
Condition1_RRAe_bin|0.0|0.0
Condition1_RRAn_bin|0.0|0.0
SaleCondition_Partial_bin|0.0|0.0
