|mean|geo_mean|median|mode|var|sdev|zero|zero_perc|nan|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
Id|1460.0|1075.65|1460.0|2047.0|710290.0|842.79|0|0.0|0|0.0|2919|1.0|2919.0|2918.0|730.5|2189.5|1459.0|0.0|-1.2
MSSubClass|57.14|44.38|50.0|20.0|1807.75|42.52|0|0.0|0|0.0|16|20.0|190.0|170.0|20.0|70.0|50.0|1.38|1.45
LotFrontage|69.31|65.36|68.0||544.98|23.34|0|0.0|486|16.65|128|21.0|313.0|292.0|59.0|80.0|21.0|1.5|11.27
LotArea|10168.11|8908.71|9453.0|9600.0|62204711.57|7887.0|0|0.0|0|0.0|1951|1300.0|215245.0|213945.0|7478.0|11570.0|4092.0|12.82|264.5
OverallQual|6.09|5.92|6.0|5.0|1.99|1.41|0|0.0|0|0.0|10|1.0|10.0|9.0|5.0|7.0|2.0|0.2|0.07
OverallCond|5.56|5.45|5.0|5.0|1.24|1.11|0|0.0|0|0.0|9|1.0|9.0|8.0|5.0|6.0|1.0|0.57|1.47
YearBuilt|1971.31|1971.08|1973.0|2005.0|917.57|30.29|0|0.0|0|0.0|118|1872.0|2010.0|138.0|1953.5|2001.0|47.5|-0.6|-0.51
YearRemodAdd|1984.26|1984.15|1993.0|1950.0|436.57|20.89|0|0.0|0|0.0|61|1950.0|2010.0|60.0|1965.0|2004.0|39.0|-0.45|-1.35
MasVnrArea|102.2|0.0|0.0|0.0|32160.77|179.33|1738|59.54|23|0.79|444|0.0|1600.0|1600.0|0.0|164.0|164.0|2.6|9.24
BsmtFinSF1|441.42|0.0|368.5|0.0|207581.22|455.61|929|31.83|1|0.03|991|0.0|5644.0|5644.0|0.0|733.0|733.0|1.42|6.89
BsmtFinSF2|49.58|0.0|0.0|0.0|28630.54|169.21|2571|88.08|1|0.03|272|0.0|1526.0|1526.0|0.0|0.0|0.0|4.15|18.8
BsmtUnfSF|560.77|0.0|467.0|0.0|193198.63|439.54|241|8.26|1|0.03|1135|0.0|2336.0|2336.0|220.0|805.5|585.5|0.92|0.4
TotalBsmtSF|1051.78|0.0|989.5|0.0|194274.89|440.77|78|2.67|1|0.03|1058|0.0|6110.0|6110.0|793.0|1302.0|509.0|1.16|9.13
1stFlrSF|1159.58|1100.18|1082.0|864.0|153948.0|392.36|0|0.0|0|0.0|1083|334.0|5095.0|4761.0|876.0|1387.5|511.5|1.47|6.94
2ndFlrSF|336.48|0.0|0.0|0.0|183784.94|428.7|1668|57.14|0|0.0|635|0.0|2065.0|2065.0|0.0|704.0|704.0|0.86|-0.42
LowQualFinSF|4.69|0.0|0.0|0.0|2152.67|46.4|2879|98.63|0|0.0|36|0.0|1064.0|1064.0|0.0|0.0|0.0|12.09|174.63
GrLivArea|1500.76|1423.34|1444.0|864.0|256087.66|506.05|0|0.0|0|0.0|1292|334.0|5642.0|5308.0|1126.0|1743.5|617.5|1.27|4.11
BsmtFullBath|0.43|0.0|0.0|0.0|0.28|0.52|1705|58.41|2|0.07|4|0.0|3.0|3.0|0.0|1.0|1.0|0.62|-0.74
BsmtHalfBath|0.06|0.0|0.0|0.0|0.06|0.25|2742|93.94|2|0.07|3|0.0|2.0|2.0|0.0|0.0|0.0|3.93|14.82
FullBath|1.57|0.0|2.0|2.0|0.31|0.55|12|0.41|0|0.0|5|0.0|4.0|4.0|1.0|2.0|1.0|0.17|-0.54
HalfBath|0.38|0.0|0.0|0.0|0.25|0.5|1834|62.83|0|0.0|3|0.0|2.0|2.0|0.0|1.0|1.0|0.69|-1.03
BedroomAbvGr|2.86|0.0|3.0|3.0|0.68|0.82|8|0.27|0|0.0|8|0.0|8.0|8.0|2.0|3.0|1.0|0.33|1.94
KitchenAbvGr|1.04|0.0|1.0|1.0|0.05|0.21|3|0.1|0|0.0|4|0.0|3.0|3.0|1.0|1.0|0.0|4.3|19.74
TotRmsAbvGrd|6.45|6.27|6.0|6.0|2.46|1.57|0|0.0|0|0.0|14|2.0|15.0|13.0|5.0|7.0|2.0|0.76|1.17
Fireplaces|0.6|0.0|1.0|0.0|0.42|0.65|1420|48.65|0|0.0|5|0.0|4.0|4.0|0.0|1.0|1.0|0.73|0.07
GarageYrBlt|1978.11|1977.95|1979.0||654.04|25.57|0|0.0|159|5.45|103|1895.0|2207.0|312.0|1960.0|2002.0|42.0|-0.38|1.8
GarageCars|1.77|0.0|2.0|2.0|0.58|0.76|157|5.38|1|0.03|6|0.0|5.0|5.0|1.0|2.0|1.0|-0.22|0.24
GarageArea|472.87|0.0|480.0|0.0|46394.93|215.39|157|5.38|1|0.03|603|0.0|1488.0|1488.0|320.0|576.0|256.0|0.24|0.94
WoodDeckSF|93.71|0.0|0.0|0.0|16008.98|126.53|1523|52.18|0|0.0|379|0.0|1424.0|1424.0|0.0|168.0|168.0|1.84|6.73
OpenPorchSF|47.49|0.0|26.0|0.0|4566.45|67.58|1298|44.47|0|0.0|252|0.0|742.0|742.0|0.0|70.0|70.0|2.54|10.92
EnclosedPorch|23.1|0.0|0.0|0.0|4127.32|64.24|2460|84.28|0|0.0|183|0.0|1012.0|1012.0|0.0|0.0|0.0|4.0|28.33
3SsnPorch|2.6|0.0|0.0|0.0|634.44|25.19|2882|98.73|0|0.0|31|0.0|508.0|508.0|0.0|0.0|0.0|11.38|149.15
ScreenPorch|16.06|0.0|0.0|0.0|3156.68|56.18|2663|91.23|0|0.0|121|0.0|576.0|576.0|0.0|0.0|0.0|3.95|17.74
PoolArea|2.25|0.0|0.0|0.0|1271.92|35.66|2906|99.55|0|0.0|14|0.0|800.0|800.0|0.0|0.0|0.0|16.9|298.12
MiscVal|50.83|0.0|0.0|0.0|321945.27|567.4|2816|96.47|0|0.0|38|0.0|17000.0|17000.0|0.0|0.0|0.0|21.95|563.11
MoSold|6.21|5.48|6.0|6.0|7.37|2.71|0|0.0|0|0.0|12|1.0|12.0|11.0|4.0|8.0|4.0|0.2|-0.46
YrSold|2007.79|2007.79|2008.0|2007.0|1.73|1.31|0|0.0|0|0.0|5|2006.0|2010.0|4.0|2007.0|2009.0|2.0|0.13|-1.16
SalePrice|180921.2|166716.64|163000.0||6311111264.3|79442.5|0|0.0|1459|49.98|663|34900.0|755000.0|720100.0|129975.0|214000.0|84025.0|1.88|6.51
