|num_modes|1st mode|1st mode Cnt|1st mode %|2nd mode|2nd mode Cnt|2nd mode %|3rd mode|3rd mode Cnt|3rd mode %|4th mode|4th mode Cnt|4th mode %|max len|min len|nan Cnt|nan %|nunique
MSZoning|5|RL|2265.0|77.6|RM|460.0|15.76|FV|139.0|4.76|RH|26.0|0.89|7|2|4|0.14|5
Street|2|Pave|2907.0|99.59|Grvl|12.0|0.41|||||||4|4|0|0.0|2
Alley|2|Grvl|120.0|4.11|Pave|78.0|2.67|||||||4|4|2721|93.22|2
LotShape|4|Reg|1859.0|63.69|IR1|968.0|33.16|IR2|76.0|2.6|IR3|16.0|0.55|3|3|0|0.0|4
LandContour|4|Lvl|2622.0|89.83|HLS|120.0|4.11|Bnk|117.0|4.01|Low|60.0|2.06|3|3|0|0.0|4
Utilities|2|AllPub|2916.0|99.9|NoSeWa|1.0|0.03|||||||6|6|2|0.07|2
LotConfig|5|Inside|2133.0|73.07|Corner|511.0|17.51|CulDSac|176.0|6.03|FR2|85.0|2.91|7|3|0|0.0|5
LandSlope|3|Gtl|2778.0|95.17|Mod|125.0|4.28|Sev|16.0|0.55||||3|3|0|0.0|3
Neighborhood|25|NAmes|443.0|15.18|CollgCr|267.0|9.15|OldTown|239.0|8.19|Edwards|194.0|6.65|7|5|0|0.0|25
Condition1|9|Norm|2511.0|86.02|Feedr|164.0|5.62|Artery|92.0|3.15|RRAn|50.0|1.71|6|4|0|0.0|9
Condition2|8|Norm|2889.0|98.97|Feedr|13.0|0.45|Artery|5.0|0.17|PosA|4.0|0.14|6|4|0|0.0|8
BldgType|5|1Fam|2425.0|83.08|TwnhsE|227.0|7.78|Duplex|109.0|3.73|Twnhs|96.0|3.29|6|4|0|0.0|5
HouseStyle|8|1Story|1471.0|50.39|2Story|872.0|29.87|1.5Fin|314.0|10.76|SLvl|128.0|4.39|6|4|0|0.0|8
RoofStyle|6|Gable|2310.0|79.14|Hip|551.0|18.88|Gambrel|22.0|0.75|Flat|20.0|0.69|7|3|0|0.0|6
RoofMatl|8|CompShg|2876.0|98.53|Tar&Grv|23.0|0.79|WdShake|9.0|0.31|WdShngl|7.0|0.24|7|4|0|0.0|8
Exterior1st|15|VinylSd|1025.0|35.11|MetalSd|450.0|15.42|HdBoard|442.0|15.14|Wd Sdng|411.0|14.08|7|5|1|0.03|15
Exterior2nd|16|VinylSd|1014.0|34.74|MetalSd|447.0|15.31|HdBoard|406.0|13.91|Wd Sdng|391.0|13.39|7|5|1|0.03|16
MasVnrType|4|None|1742.0|59.68|BrkFace|879.0|30.11|Stone|249.0|8.53|BrkCmn|25.0|0.86|7|4|24|0.82|4
ExterQual|4|TA|1798.0|61.6|Gd|979.0|33.54|Ex|107.0|3.67|Fa|35.0|1.2|2|2|0|0.0|4
ExterCond|5|TA|2538.0|86.95|Gd|299.0|10.24|Fa|67.0|2.3|Ex|12.0|0.41|2|2|0|0.0|5
Foundation|6|PConc|1308.0|44.81|CBlock|1235.0|42.31|BrkTil|311.0|10.65|Slab|49.0|1.68|6|4|0|0.0|6
BsmtQual|4|TA|1283.0|43.95|Gd|1209.0|41.42|Ex|258.0|8.84|Fa|88.0|3.01|2|2|81|2.77|4
BsmtCond|4|TA|2606.0|89.28|Gd|122.0|4.18|Fa|104.0|3.56|Po|5.0|0.17|2|2|82|2.81|4
BsmtExposure|4|No|1904.0|65.23|Av|418.0|14.32|Gd|276.0|9.46|Mn|239.0|8.19|2|2|82|2.81|4
BsmtFinType1|6|Unf|851.0|29.15|GLQ|849.0|29.09|ALQ|429.0|14.7|Rec|288.0|9.87|3|3|79|2.71|6
BsmtFinType2|6|Unf|2493.0|85.41|Rec|105.0|3.6|LwQ|87.0|2.98|BLQ|68.0|2.33|3|3|80|2.74|6
Heating|6|GasA|2874.0|98.46|GasW|27.0|0.92|Grav|9.0|0.31|Wall|6.0|0.21|5|4|0|0.0|6
HeatingQC|5|Ex|1493.0|51.15|TA|857.0|29.36|Gd|474.0|16.24|Fa|92.0|3.15|2|2|0|0.0|5
