PassengerId|Survived|Pclass|Mrs|Ms|Priv|male|Age|SibSp|Parch|Ticket_Number|Fare|Embarked|FamSize|Alone|Dataset
1|0.0|1|0|0|0|1|22.0|1|0|21171|7.25|1|1|0|train
2|1.0|3|1|0|0|0|38.0|1|0|17599|71.2833|2|1|0|train
3|1.0|1|0|1|0|0|26.0|0|0|3101282|7.925|1|0|1|train
4|1.0|3|1|0|0|0|35.0|1|0|113803|53.1|1|1|0|train
5|0.0|1|0|0|0|1|35.0|0|0|373450|8.05|1|0|1|train
7|0.0|3|0|0|0|1|54.0|0|0|17463|51.8625|1|0|1|train
8|0.0|1|0|0|1|1|2.0|3|1|349909|21.075|1|4|0|train
9|1.0|1|1|0|0|0|27.0|0|2|347742|11.1333|1|2|0|train
10|1.0|2|1|0|0|0|14.0|1|0|237736|30.0708|2|1|0|train
11|1.0|1|0|1|0|0|4.0|1|1|9549|16.7|1|2|0|train
12|1.0|3|0|1|0|0|58.0|0|0|113783|26.55|1|0|1|train
13|0.0|1|0|0|0|1|20.0|0|0|2151|8.05|1|0|1|train
14|0.0|1|0|0|0|1|39.0|1|5|347082|31.275|1|6|0|train
15|0.0|1|0|1|0|0|14.0|0|0|350406|7.8542|1|0|1|train
16|1.0|2|1|0|0|0|55.0|0|0|248706|16.0|1|0|1|train
17|0.0|1|0|0|1|1|2.0|4|1|382652|29.125|3|5|0|train
19|0.0|1|1|0|0|0|31.0|1|0|345763|18.0|1|1|0|train
21|0.0|2|0|0|0|1|35.0|0|0|239865|26.0|1|0|1|train
22|1.0|2|0|0|0|1|34.0|0|0|248698|13.0|1|0|1|train
23|1.0|1|0|1|0|0|15.0|0|0|330923|8.0292|3|0|1|train
24|1.0|3|0|0|0|1|28.0|0|0|113788|35.5|1|0|1|train
25|0.0|1|0|1|0|0|8.0|3|1|349909|21.075|1|4|0|train
26|1.0|1|1|0|0|0|38.0|1|5|347077|31.3875|1|6|0|train
28|0.0|3|0|0|0|1|19.0|3|2|19950|263.0|1|5|0|train
31|0.0|3|0|0|0|1|40.0|0|0|17601|27.7208|2|0|1|train
34|0.0|2|0|0|0|1|66.0|0|0|24579|10.5|1|0|1|train
35|0.0|3|0|0|0|1|28.0|1|0|17604|82.1708|2|1|0|train
36|0.0|3|0|0|0|1|42.0|1|0|113789|52.0|1|1|0|train
38|0.0|1|0|0|0|1|21.0|0|0|2152|8.05|1|0|1|train
39|0.0|1|0|1|0|0|18.0|2|0|345764|18.0|1|2|0|train
40|1.0|1|0|1|0|0|14.0|1|0|2651|11.2417|2|1|0|train
41|0.0|1|1|0|0|0|40.0|1|0|7546|9.475|1|1|0|train
42|0.0|2|1|0|0|0|27.0|1|0|11668|21.0|1|1|0|train
44|1.0|2|0|1|0|0|3.0|1|2|2123|41.5792|2|3|0|train
45|1.0|1|0|1|0|0|19.0|0|0|330958|7.8792|3|0|1|train
50|0.0|1|1|0|0|0|18.0|1|0|349237|17.8|1|1|0|train
51|0.0|1|0|0|1|1|7.0|4|1|3101295|39.6875|1|5|0|train
52|0.0|1|0|0|0|1|21.0|0|0|39886|7.8|1|0|1|train
53|1.0|3|1|0|0|0|49.0|1|0|17572|76.7292|2|1|0|train
54|1.0|2|1|0|0|0|29.0|1|0|2926|26.0|1|1|0|train
55|0.0|3|0|0|0|1|65.0|0|1|113509|61.9792|2|1|0|train
57|1.0|2|0|1|0|0|21.0|0|0|31026|10.5|1|0|1|train
58|0.0|1|0|0|0|1|28.5|0|0|2697|7.2292|2|0|1|train
59|1.0|2|0|1|0|0|5.0|1|2|34651|27.75|1|3|0|train
60|0.0|1|0|0|1|1|11.0|5|2|2144|46.9|1|7|0|train
61|0.0|1|0|0|0|1|22.0|0|0|2669|7.2292|2|0|1|train
62|1.0|3|0|1|0|0|38.0|0|0|113572|80.0|1|0|1|train
63|0.0|3|0|0|0|1|45.0|1|0|36973|83.475|1|1|0|train
64|0.0|1|0|0|1|1|4.0|3|2|347088|27.9|1|5|0|train
67|1.0|2|1|0|0|0|29.0|0|0|29395|10.5|1|0|1|train
68|0.0|1|0|0|0|1|19.0|0|0|3464|8.1583|1|0|1|train
69|1.0|1|0|1|0|0|17.0|4|2|3101281|7.925|1|6|0|train
70|0.0|1|0|0|0|1|26.0|2|0|315151|8.6625|1|2|0|train
71|0.0|2|0|0|0|1|32.0|0|0|33111|10.5|1|0|1|train
72|0.0|1|0|1|0|0|16.0|5|2|2144|46.9|1|7|0|train
73|0.0|2|0|0|0|1|21.0|0|0|14879|73.5|1|0|1|train
74|0.0|1|0|0|0|1|26.0|1|0|2680|14.4542|2|1|0|train
75|1.0|1|0|0|0|1|32.0|0|0|1601|56.4958|1|0|1|train
76|0.0|1|0|0|0|1|25.0|0|0|348123|7.65|1|0|1|train
79|1.0|2|0|0|1|1|0.83|0|2|248738|29.0|1|2|0|train
80|1.0|1|0|1|0|0|30.0|0|0|364516|12.475|1|0|1|train
81|0.0|1|0|0|0|1|22.0|0|0|345767|9.0|1|0|1|train
82|1.0|1|0|0|0|1|29.0|0|0|345779|9.5|1|0|1|train
84|0.0|3|0|0|0|1|28.0|0|0|113059|47.1|1|0|1|train
85|1.0|2|0|1|0|0|17.0|0|0|14885|10.5|1|0|1|train
86|1.0|1|1|0|0|0|33.0|3|0|3101278|15.85|1|3|0|train
87|0.0|1|0|0|0|1|16.0|1|3|6608|34.375|1|4|0|train
89|1.0|3|0|1|0|0|23.0|3|2|19950|263.0|1|5|0|train
90|0.0|1|0|0|0|1|24.0|0|0|343275|8.05|1|0|1|train
91|0.0|1|0|0|0|1|29.0|0|0|343276|8.05|1|0|1|train
92|0.0|1|0|0|0|1|20.0|0|0|347466|7.8542|1|0|1|train
93|0.0|3|0|0|0|1|46.0|1|0|5734|61.175|1|1|0|train
94|0.0|1|0|0|0|1|26.0|1|2|2315|20.575|1|3|0|train
95|0.0|1|0|0|0|1|59.0|0|0|364500|7.25|1|0|1|train
97|0.0|3|0|0|0|1|71.0|0|0|17754|34.6542|2|0|1|train
98|1.0|3|0|0|0|1|23.0|0|1|17759|63.3583|2|1|0|train
99|1.0|2|1|0|0|0|34.0|0|1|231919|23.0|1|1|0|train
100|0.0|2|0|0|0|1|34.0|1|0|244367|26.0|1|1|0|train
101|0.0|1|0|1|0|0|28.0|0|0|349245|7.8958|1|0|1|train
103|0.0|3|0|0|0|1|21.0|0|1|35281|77.2875|1|1|0|train
104|0.0|1|0|0|0|1|33.0|0|0|7540|8.6542|1|0|1|train
105|0.0|1|0|0|0|1|37.0|2|0|3101276|7.925|1|2|0|train
106|0.0|1|0|0|0|1|28.0|0|0|349207|7.8958|1|0|1|train
107|1.0|1|0|1|0|0|21.0|0|0|343120|7.65|1|0|1|train
109|0.0|1|0|0|0|1|38.0|0|0|349249|7.8958|1|0|1|train
111|0.0|3|0|0|0|1|47.0|0|0|110465|52.0|1|0|1|train
112|0.0|1|0|1|0|0|14.5|1|0|2665|14.4542|2|1|0|train
113|0.0|1|0|0|0|1|22.0|0|0|324669|8.05|1|0|1|train
114|0.0|1|0|1|0|0|20.0|1|0|4136|9.825|1|1|0|train
115|0.0|1|0|1|0|0|17.0|0|0|2627|14.4583|2|0|1|train
116|0.0|1|0|0|0|1|21.0|0|0|3101294|7.925|1|0|1|train
117|0.0|1|0|0|0|1|70.5|0|0|370369|7.75|3|0|1|train
118|0.0|2|0|0|0|1|29.0|1|0|11668|21.0|1|1|0|train
119|0.0|3|0|0|0|1|24.0|0|1|17558|247.5208|2|1|0|train
120|0.0|1|0|1|0|0|2.0|4|2|347082|31.275|1|6|0|train
121|0.0|2|0|0|0|1|21.0|2|0|14879|73.5|1|2|0|train
123|0.0|2|0|0|0|1|32.5|1|0|237736|30.0708|2|1|0|train
124|1.0|2|0|1|0|0|32.5|0|0|27267|13.0|1|0|1|train
125|0.0|3|0|0|0|1|54.0|0|1|35281|77.2875|1|1|0|train
126|1.0|1|0|0|1|1|12.0|1|0|2651|11.2417|2|1|0|train
128|1.0|1|0|0|0|1|24.0|0|0|17369|7.1417|1|0|1|train
130|0.0|1|0|0|0|1|45.0|0|0|347061|6.975|1|0|1|train
131|0.0|1|0|0|0|1|33.0|0|0|349241|7.8958|2|0|1|train
132|0.0|1|0|0|0|1|20.0|0|0|3101307|7.05|1|0|1|train
133|0.0|1|1|0|0|0|47.0|1|0|3337|14.5|1|1|0|train
134|1.0|2|1|0|0|0|29.0|1|0|228414|26.0|1|1|0|train
135|0.0|2|0|0|0|1|25.0|0|0|29178|13.0|1|0|1|train
136|0.0|2|0|0|0|1|23.0|0|0|2133|15.0458|2|0|1|train
137|1.0|3|0|1|0|0|19.0|0|2|11752|26.2833|1|2|0|train
138|0.0|3|0|0|0|1|37.0|1|0|113803|53.1|1|1|0|train
139|0.0|1|0|0|0|1|16.0|0|0|7534|9.2167|1|0|1|train
140|0.0|3|0|0|0|1|24.0|0|0|17593|79.2|2|0|1|train
142|1.0|1|0|1|0|0|22.0|0|0|347081|7.75|1|0|1|train
143|1.0|1|1|0|0|0|24.0|1|0|3101279|15.85|1|1|0|train
144|0.0|1|0|0|0|1|19.0|0|0|365222|6.75|3|0|1|train
145|0.0|2|0|0|0|1|18.0|0|0|231945|11.5|1|0|1|train
146|0.0|2|0|0|0|1|19.0|1|1|33112|36.75|1|2|0|train
147|1.0|1|0|0|0|1|27.0|0|0|350043|7.7958|1|0|1|train
148|0.0|1|0|1|0|0|9.0|2|2|6608|34.375|1|4|0|train
149|0.0|2|0|0|0|1|36.5|0|2|230080|26.0|1|2|0|train
150|0.0|2|0|0|1|1|42.0|0|0|244310|13.0|1|0|1|train
151|0.0|2|0|0|1|1|51.0|0|0|1166|12.525|1|0|1|train
152|1.0|3|1|0|0|0|22.0|1|0|113776|66.6|1|1|0|train
