PassengerId|Dataset|Survived|PclassxAge|AgexFare|male|AgexEmbarked|Age|PclassxFare|FarexEmbarked|Fare|Priv|AgexFamSize|AgexSibSp|SibSpxEmbarked|FarexFamSize|SibSpxFare|PclassxEmbarked|SibSpxFamSize|Pclass|Embarked|FamSize|SibSp
1|train|0.0|0.09007429668586692|0.007783081659214427|1|0.1011715600246644|22.0|0.004717019187402683|0.0070755287811040245|7.25|0|0.05365853658536585|0.20754716981132076|0.08333333333333333|0.005513307984790874|0.009188846641318124|0.0|0.0125|1|1|1|1
2|train|1.0|0.4740796393688955|0.13217894861350865|0|0.3573020917326756|38.0|0.13913573538264068|0.13913573538264068|71.2833|0|0.09268292682926829|0.3584905660377358|0.16666666666666666|0.05420783269961977|0.09034638783269962|0.625|0.0125|3|2|1|1
3|train|1.0|0.10677018115034642|0.01005457038169989|0|0.12014419200303561|26.0|0.005156189939333278|0.007734284908999916|7.925|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1|1|0|0
4|train|1.0|0.4365138993238166|0.09068876027366779|0|0.1628326139543708|35.0|0.10364429745562034|0.051822148727810165|53.1|0|0.08536585365853659|0.330188679245283|0.08333333333333333|0.04038022813688213|0.06730038022813688|0.25|0.0125|3|1|1|1
5|train|0.0|0.14433592119542532|0.013748484372938337|1|0.1628326139543708|35.0|0.005237517856357463|0.007856276784536194|8.05|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1|1|0|0
7|train|0.0|0.6744302529426497|0.13665895873200276|1|0.252952615851634|54.0|0.10122885832000206|0.05061442916000103|51.8625|0|0.0|0.0|0.0|0.0|0.0|0.25|0.0|3|1|0|0
8|train|0.0|0.0065948743634694044|0.002056783021541618|1|0.006308400132808424|2.0|0.013711886810277454|0.02056783021541618|21.075|1|0.01951219512195122|0.05660377358490566|0.25|0.064106463878327|0.08013307984790874|0.0|0.15|1|1|4|3
9|train|1.0|0.1109441522664663|0.014668259197406667|0|0.1248873499976284|27.0|0.007243584788842799|0.010865377183264198|11.1333|0|0.13170731707317074|0.0|0.0|0.01693277566539924|0.0|0.0|0.0|1|1|2|0
10|train|1.0|0.11511812338258617|0.020543002428907036|0|0.1296305079922212|14.0|0.03912952843601341|0.058694292654020104|30.0708|0|0.03414634146341464|0.1320754716981132|0.16666666666666666|0.022867528517110266|0.03811254752851711|0.375|0.0125|2|2|1|1
11|train|1.0|0.014942816595709157|0.003259622914329302|0|0.015794716121994023|4.0|0.010865409714431009|0.01629811457164651|16.7|0|0.01951219512195122|0.03773584905660377|0.08333333333333333|0.025399239543726235|0.021166032953105197|0.0|0.025|1|1|2|1
12|train|1.0|0.7245179063360881|0.07514211565532473|0|0.2719252478300052|58.0|0.05182214872781017|0.025911074363905082|26.55|0|0.0|0.0|0.0|0.0|0.0|0.25|0.0|3|1|0|0
13|train|0.0|0.08172635445362716|0.007856276784536192|1|0.09168524403547881|20.0|0.005237517856357463|0.007856276784536194|8.05|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1|1|0|0
14|train|0.0|0.16103180565990483|0.059518616155393826|1|0.181805245932742|39.0|0.020348244839450885|0.030522367259176324|31.275|0|0.5707317073170731|0.36792452830188677|0.08333333333333333|0.1426996197718631|0.03963878326996197|0.0|0.075|1|1|6|1
15|train|0.0|0.05668252775690792|0.005365632097487318|0|0.06322629606792202|14.0|0.00511012580713078|0.007665188710696169|7.8542|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1|1|0|0
16|train|1.0|0.457383754904416|0.042941140188769246|0|0.25769577384622677|55.0|0.020819946758191155|0.015614960068643364|16.0|0|0.0|0.0|0.0|0.0|0.0|0.125|0.0|2|1|0|0
17|train|0.0|0.0065948743634694044|0.002842410699995237|1|0.025281032111179623|2.0|0.018949404666634917|0.08527232099985713|29.125|1|0.024390243902439025|0.07547169811320754|1.0|0.11074144486692016|0.1476552598225602|0.25|0.25|1|3|5|4
19|train|0.0|0.12764003673094582|0.027228586619696866|0|0.1438599819759996|31.0|0.011711220051482524|0.017566830077223785|18.0|0|0.07560975609756097|0.29245283018867924|0.08333333333333333|0.013688212927756654|0.022813688212927757|0.0|0.0125|1|1|1|1
21|train|0.0|0.29042491025962097|0.044405042695204566|1|0.1628326139543708|35.0|0.033832413482060626|0.025374310111545468|26.0|0|0.0|0.0|0.0|0.0|0.0|0.125|0.0|2|1|0|0
22|train|1.0|0.28207696802738125|0.021568163594813644|1|0.158089455959778|34.0|0.016916206741030313|0.012687155055772734|13.0|0|0.0|0.0|0.0|0.0|0.0|0.125|0.0|2|1|0|0
23|train|1.0|0.0608564988730278|0.005876983002335216|0|0.2102641939002988|15.0|0.005223984890964637|0.023507932009340867|8.0292|0|0.0|0.0|0.0|0.0|0.0|0.25|0.0|1|3|0|0
24|train|1.0|0.34886050588529927|0.048503969713223447|1|0.1296305079922212|28.0|0.06929138530460494|0.03464569265230246|35.5|0|0.0|0.0|0.0|0.0|0.0|0.25|0.0|3|1|0|0
25|train|0.0|0.031638701060188665|0.008227132086166471|0|0.03476734810036522|8.0|0.013711886810277454|0.02056783021541618|21.075|0|0.07804878048780488|0.22641509433962265|0.25|0.064106463878327|0.08013307984790874|0.0|0.15|1|1|4|3
26|train|1.0|0.15685783454378494|0.05820110389960204|0|0.1770620879381492|38.0|0.02042143996477265|0.030632159947158972|31.3875|0|0.5560975609756098|0.3584905660377358|0.08333333333333333|0.14321292775665398|0.039781368821292774|0.0|0.075|1|1|6|1
28|train|0.0|0.2361632857500626|0.24383736082190902|1|0.086942086040886|19.0|0.5133418122566507|0.25667090612832527|263.0|0|0.23170731707317074|0.5377358490566038|0.25|1.0|1.0|0.25|0.1875|3|1|5|3
31|train|0.0|0.4991234660656148|0.05410739813385612|1|0.3762747237110468|40.0|0.05410739813385613|0.05410739813385612|27.7208|0|0.0|0.0|0.0|0.0|0.0|0.625|0.0|3|2|0|0
34|train|0.0|0.5492111194590533|0.033816147898655786|1|0.30987051178674757|66.0|0.013663090060062945|0.010247317545047208|10.5|0|0.0|0.0|0.0|0.0|0.0|0.125|0.0|2|1|0|0
35|train|0.0|0.34886050588529927|0.11227070407074201|1|0.26243893184081957|28.0|0.16038672010106003|0.16038672010106|82.1708|0|0.06829268292682927|0.2641509433962264|0.16666666666666666|0.062487300380228136|0.10414550063371356|0.625|0.0125|3|2|1|1
36|train|0.0|0.5241672927623341|0.10657210246849096|1|0.1960347199165204|42.0|0.10149724044618187|0.050748620223090936|52.0|0|0.1024390243902439|0.39622641509433965|0.08333333333333333|0.03954372623574144|0.06590621039290241|0.25|0.0125|3|1|1|1
38|train|0.0|0.08590032556974704|0.008249090623763002|1|0.09642840203007161|21.0|0.005237517856357463|0.007856276784536194|8.05|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1|1|0|0
39|train|0.0|0.07337841222138741|0.015810147069501405|0|0.08219892804629321|18.0|0.011711220051482524|0.017566830077223785|18.0|0|0.08780487804878048|0.33962264150943394|0.16666666666666666|0.02737642585551331|0.045627376425855515|0.0|0.05|1|1|2|2
